Champion name,Win rate(%),Wins / losses
Irelia,59.0,4326 / 3004
Singed,58.8,1846 / 1295
Udyr,58.0,1605 / 1160
Pyke,57.3,2558 / 1910
Tryndamere,56.3,1091 / 848
Skarner,56.3,941 / 731
Nunu,55.9,674 / 532
Kled,55.9,637 / 502
Camille,55.3,2708 / 2193
Sion,54.9,789 / 649
Kennen,54.8,908 / 750
Fiora,54.5,2500 / 2087
Aatrox,54.5,2083 / 1738
Ryze,53.9,669 / 573
Rakan,53.6,1429 / 1235
Hecarim,53.2,375 / 330
Jarvan IV,53.2,341 / 300
Dr. Mundo,53.1,508 / 449
Mordekaiser,53.0,1370 / 1215
Sejuani,53.0,814 / 723
Nautilus,52.6,1114 / 1004
Bard,52.6,1022 / 920
Warwick,52.5,539 / 488
Aphelios,52.4,2813 / 2558
Malphite,52.2,325 / 298
Zac,51.9,746 / 692
Rammus,51.9,392 / 363
Ahri,51.7,876 / 817
Ivern,51.4,1419 / 1342
Yorick,51.2,108 / 103
Lee Sin,51.1,782 / 749
Riven,50.9,437 / 421
Aurelion Sol,50.9,359 / 346
Sona,50.8,431 / 418
Jax,50.7,667 / 649
Kassadin,50.7,330 / 321
Evelynn,50.6,386 / 377
Thresh,50.5,1355 / 1326
Draven,50.5,832 / 817
Fizz,50.5,298 / 292
Shen,50.3,968 / 957
Sivir,50.3,176 / 174
Volibear,50.2,481 / 477
Nami,50.0,407 / 407
Malzahar,50.0,250 / 250
Vi,49.8,204 / 206
Miss Fortune,49.7,687 / 694
Leona,49.7,513 / 519
Trundle,49.7,285 / 288
Yasuo,49.6,1003 / 1020
Cassiopeia,49.2,1092 / 1128
Blitzcrank,49.2,651 / 671
Katarina,49.2,459 / 473
Nasus,49.2,293 / 302
Illaoi,49.1,289 / 300
Nocturne,49.1,156 / 162
Alistar,49.0,904 / 941
Syndra,49.0,845 / 879
Kog'Maw,48.9,840 / 878
Amumu,48.9,235 / 246
Xayah,48.8,1089 / 1141
Nidalee,48.7,753 / 793
Jinx,48.7,740 / 781
Vayne,48.6,1045 / 1106
Ornn,48.6,842 / 889
Azir,48.6,616 / 651
Senna,48.5,1398 / 1487
Caitlyn,48.5,842 / 895
Qiyana,48.4,556 / 592
Ziggs,48.4,285 / 304
Annie,48.3,355 / 380
Zoe,48.1,649 / 700
Twitch,48.0,962 / 1042
Xerath,48.0,763 / 825
Orianna,48.0,711 / 771
Neeko,48.0,557 / 603
Zilean,48.0,504 / 547
Kalista,48.0,319 / 346
Zed,47.9,341 / 371
Tristana,47.8,522 / 570
Vel'Koz,47.6,719 / 792
Sylas,47.6,674 / 742
Graves,47.6,637 / 702
Twisted Fate,47.6,402 / 442
Rengar,47.6,355 / 391
Ezreal,47.5,1496 / 1653
Rek'Sai,47.5,715 / 790
Varus,47.4,505 / 561
Morgana,47.4,367 / 408
Jhin,47.3,663 / 739
Ashe,47.3,595 / 662
LeBlanc,47.3,531 / 592
Akali,47.3,491 / 548
Fiddlesticks,47.2,251 / 281
Karthus,47.0,660 / 743
Tahm Kench,46.9,875 / 992
Ekko,46.9,674 / 764
Talon,46.9,366 / 414
Kai'Sa,46.8,1032 / 1173
Gragas,46.8,397 / 451
Veigar,46.7,789 / 899
Elise,46.7,634 / 723
Zyra,46.7,206 / 235
Braum,46.5,1177 / 1353
Pantheon,46.5,801 / 922
Poppy,46.5,551 / 635
Janna,46.4,570 / 658
Viktor,46.2,251 / 292
Karma,46.1,931 / 1087
Lucian,46.1,648 / 759
Diana,46.1,208 / 243
Cho'Gath,46.1,148 / 173
Lissandra,46.1,140 / 164
Swain,46.0,300 / 352
Quinn,46.0,110 / 129
Olaf,45.9,599 / 706
Anivia,45.9,525 / 620
Corki,45.6,113 / 135
Rumble,45.5,168 / 201
Yuumi,45.4,783 / 940
Taric,45.4,301 / 362
Master Yi,45.2,351 / 426
Soraka,45.0,380 / 465
Wukong,45.0,194 / 237
Brand,45.0,191 / 233
Maokai,44.7,489 / 606
Sett,44.6,642 / 798
Lulu,43.8,806 / 1033
Galio,43.8,382 / 491
Heimerdinger,43.8,327 / 419
Vladimir,43.8,210 / 269
Kindred,43.6,394 / 510
Teemo,43.3,322 / 421
Kha'Zix,42.7,616 / 828
Xin Zhao,42.7,308 / 414
Shaco,42.5,192 / 260
Lux,42.4,131 / 178
Gnar,42.3,362 / 493
Shyvana,42.1,151 / 208
Garen,42.1,59 / 81
Taliyah,41.9,132 / 183
Urgot,41.3,74 / 105
Kayle,41.2,98 / 140
Darius,40.7,320 / 467
Jayce,40.5,278 / 408
Renekton,40.3,239 / 354
Gangplank,40.0,430 / 644
