Champion name,Win rate(%),Wins / losses
Jinx,57.5,153 / 113
Singed,57.1,1000 / 751
Skarner,57.0,469 / 354
Galio,57.0,154 / 116
Udyr,56.9,754 / 572
Pyke,56.8,1511 / 1149
Tryndamere,55.7,374 / 298
Ashe,55.3,242 / 196
Shen,55.2,407 / 330
Irelia,55.0,1712 / 1403
Amumu,55.0,137 / 112
Sejuani,54.8,287 / 237
Bard,54.1,506 / 429
Kennen,53.6,725 / 627
Nasus,53.5,438 / 381
Volibear,53.4,194 / 169
Camille,53.1,886 / 783
Malzahar,52.9,82 / 73
Aatrox,52.6,648 / 585
Nunu,52.6,385 / 347
Leona,52.6,223 / 201
Garen,52.5,31 / 28
Zed,52.4,216 / 196
Graves,52.3,190 / 173
Zac,51.9,291 / 270
Poppy,51.9,219 / 203
Kassadin,51.9,123 / 114
Nocturne,51.8,142 / 132
Fiora,51.7,864 / 806
Rakan,51.7,539 / 503
Rammus,51.7,108 / 101
Sion,51.5,391 / 368
Senna,51.4,570 / 540
Ezreal,51.4,544 / 515
Sett,51.2,294 / 280
Xayah,51.0,436 / 419
Lissandra,51.0,78 / 75
Yasuo,50.8,373 / 361
Kled,50.7,225 / 219
Malphite,50.7,111 / 108
Ornn,50.6,462 / 451
Zyra,50.6,80 / 78
Mordekaiser,50.5,430 / 422
Maokai,50.5,142 / 139
Ryze,50.4,294 / 289
Lee Sin,50.4,293 / 288
Varus,50.4,186 / 183
Annie,50.4,177 / 174
Jax,50.3,183 / 181
Nautilus,50.0,315 / 315
Kog'Maw,50.0,285 / 285
Quinn,50.0,13 / 13
Alistar,49.9,352 / 353
Kha'Zix,49.7,190 / 192
Caitlyn,49.6,355 / 361
Aphelios,49.5,1135 / 1158
Wukong,49.5,98 / 100
Urgot,49.4,42 / 43
Ekko,49.3,226 / 232
Neeko,49.3,103 / 106
Azir,49.2,361 / 372
Viktor,49.2,65 / 67
Rek'Sai,49.0,249 / 259
Rengar,48.9,157 / 164
Jarvan IV,48.8,187 / 196
Dr. Mundo,48.8,119 / 125
Kai'Sa,48.7,368 / 388
Twitch,48.7,354 / 373
Blitzcrank,48.7,169 / 178
Cho'Gath,48.7,145 / 153
Master Yi,48.6,233 / 246
Qiyana,48.6,218 / 231
Yorick,48.6,54 / 57
Twisted Fate,48.4,149 / 159
Corki,48.4,74 / 79
Tahm Kench,48.3,305 / 326
Vayne,48.2,474 / 510
Tristana,48.1,100 / 108
Syndra,47.9,274 / 298
Ahri,47.9,266 / 289
Draven,47.8,267 / 291
Kalista,47.8,109 / 119
Sona,47.7,106 / 116
Rumble,47.7,73 / 80
Karma,47.6,285 / 314
Lucian,47.5,224 / 248
Hecarim,47.5,177 / 196
Thresh,47.4,411 / 456
Shyvana,47.4,54 / 60
Ivern,47.3,420 / 468
Jhin,47.3,219 / 244
Zoe,47.2,203 / 227
Fiddlesticks,47.1,99 / 111
Veigar,47.0,329 / 371
Teemo,47.0,188 / 212
Katarina,47.0,164 / 185
Zilean,47.0,118 / 133
Trundle,46.9,143 / 162
Kayle,46.9,53 / 60
Warwick,46.8,89 / 101
Akali,46.6,221 / 253
Olaf,46.4,307 / 354
Vi,46.3,50 / 58
Pantheon,46.2,240 / 280
Orianna,46.1,251 / 294
Braum,46.0,342 / 402
Cassiopeia,45.9,315 / 371
Sivir,45.6,99 / 118
Vel'Koz,45.6,83 / 99
Taliyah,45.6,41 / 49
Sylas,45.5,262 / 314
Diana,45.5,76 / 91
Gragas,45.4,124 / 149
Ziggs,45.4,98 / 118
Aurelion Sol,45.4,69 / 83
Illaoi,45.2,89 / 108
Shaco,45.1,74 / 90
Gnar,45.0,90 / 110
Xerath,44.8,250 / 308
Morgana,44.7,159 / 197
Evelynn,44.7,151 / 187
Elise,44.4,147 / 184
Miss Fortune,44.3,127 / 160
LeBlanc,44.1,154 / 195
Yuumi,44.0,381 / 485
Janna,44.0,148 / 188
Karthus,43.9,187 / 239
Anivia,43.6,177 / 229
Xin Zhao,43.4,89 / 116
Talon,43.1,90 / 119
Taric,42.9,87 / 116
Riven,42.6,98 / 132
Soraka,42.5,111 / 150
Lux,42.5,37 / 50
Swain,42.3,47 / 64
Nami,42.1,102 / 140
Nidalee,41.7,123 / 172
Lulu,41.6,292 / 410
Fizz,41.6,82 / 115
Kindred,40.8,108 / 157
Vladimir,39.4,91 / 140
Darius,38.2,96 / 155
Renekton,36.8,56 / 96
Gangplank,36.1,53 / 94
Brand,36.1,22 / 39
Jayce,33.3,20 / 40
Heimerdinger,21.1,4 / 15
