Champion name,Win rate(%),Wins / losses
Irelia,60.4,2669 / 1752
Singed,60.3,1083 / 714
Pyke,58.7,1287 / 907
Udyr,58.2,968 / 695
Kled,57.7,379 / 278
Tryndamere,57.5,791 / 584
Skarner,57.5,470 / 347
Camille,56.8,1748 / 1327
Dr. Mundo,56.3,314 / 244
Sion,56.0,463 / 364
Fiora,55.8,1639 / 1297
Kennen,55.7,493 / 392
Aatrox,55.6,1471 / 1173
Hecarim,54.1,170 / 144
Mordekaiser,53.9,842 / 720
Ryze,53.9,369 / 315
Rakan,53.8,920 / 789
Nunu,53.8,411 / 353
Sejuani,53.6,522 / 452
Warwick,53.6,426 / 369
Yorick,53.6,75 / 65
Jax,52.8,448 / 401
Zac,52.7,513 / 460
Lee Sin,52.3,537 / 490
Aphelios,52.2,1681 / 1541
Jarvan IV,52.2,200 / 183
Malphite,51.9,139 / 129
Ahri,51.8,504 / 469
Illaoi,51.8,212 / 197
Bard,51.7,550 / 513
Nautilus,51.5,700 / 659
Nami,51.4,238 / 225
Amumu,51.3,142 / 135
Sivir,51.3,123 / 117
Ivern,51.1,998 / 955
Alistar,51.0,611 / 588
Draven,50.7,538 / 524
Aurelion Sol,50.6,259 / 253
Miss Fortune,50.5,534 / 523
Leona,50.5,333 / 326
Sona,50.5,283 / 277
Evelynn,50.5,276 / 270
Azir,50.4,333 / 328
Trundle,50.2,158 / 157
Yasuo,50.0,681 / 681
Kog'Maw,50.0,628 / 628
Riven,50.0,277 / 277
Ziggs,50.0,178 / 178
Xerath,49.9,517 / 519
Xayah,49.8,754 / 761
Nidalee,49.8,551 / 556
Volibear,49.8,332 / 335
Thresh,49.7,905 / 917
Kalista,49.7,262 / 265
Rengar,49.6,224 / 228
Katarina,49.5,329 / 335
Kassadin,49.4,265 / 271
Cassiopeia,49.3,704 / 723
Vi,49.2,156 / 161
Neeko,49.1,439 / 456
Caitlyn,49.0,569 / 593
Zilean,49.0,365 / 380
Zed,49.0,235 / 245
Rammus,48.9,238 / 249
Shen,48.7,571 / 601
Syndra,48.7,483 / 508
Malzahar,48.7,171 / 180
Nocturne,48.4,74 / 79
Jinx,48.3,549 / 587
Blitzcrank,48.2,447 / 481
Annie,48.2,264 / 284
Nasus,48.2,179 / 192
Morgana,48.1,254 / 274
Ezreal,48.0,1015 / 1100
Twitch,48.0,670 / 725
Elise,48.0,476 / 516
Zoe,47.9,481 / 524
Vayne,47.8,679 / 741
Vel'Koz,47.8,556 / 606
Rek'Sai,47.8,492 / 538
Twisted Fate,47.8,302 / 330
Kai'Sa,47.7,689 / 756
Ornn,47.7,490 / 537
Jhin,47.7,484 / 531
Qiyana,47.7,297 / 325
Ashe,47.6,429 / 473
Orianna,47.5,454 / 501
Varus,47.5,317 / 351
Graves,47.4,469 / 521
Senna,47.2,899 / 1005
Akali,47.2,324 / 363
Karthus,47.1,439 / 493
LeBlanc,47.1,343 / 385
Swain,47.1,200 / 225
Tristana,46.9,354 / 401
Janna,46.7,395 / 450
Diana,46.6,117 / 134
Ekko,46.5,462 / 531
Karma,46.3,657 / 761
Pantheon,46.3,544 / 630
Sett,46.3,445 / 516
Olaf,46.3,418 / 485
Cho'Gath,46.3,118 / 137
Yuumi,46.1,414 / 484
Poppy,46.1,387 / 452
Talon,46.1,276 / 323
Gragas,46.1,233 / 272
Lissandra,46.0,87 / 102
Braum,45.9,825 / 974
Soraka,45.8,285 / 337
Viktor,45.8,194 / 230
Fiddlesticks,45.8,127 / 150
Anivia,45.6,376 / 449
Fizz,45.6,149 / 178
Veigar,45.4,508 / 612
Lucian,45.3,442 / 534
Master Yi,45.3,248 / 299
Vladimir,45.0,141 / 172
Taric,44.9,197 / 242
Brand,44.9,141 / 173
Zyra,44.9,122 / 150
Tahm Kench,44.8,573 / 707
Corki,44.8,69 / 85
Lulu,44.6,557 / 693
Sylas,44.5,391 / 487
Urgot,44.3,51 / 64
Heimerdinger,44.2,276 / 348
Kindred,44.2,271 / 342
Taliyah,43.5,93 / 121
Rumble,43.5,77 / 100
Maokai,43.4,335 / 437
Kha'Zix,43.0,483 / 641
Quinn,42.9,63 / 84
Lux,42.2,81 / 111
Gnar,41.9,227 / 315
Gangplank,41.8,344 / 479
Wukong,41.7,134 / 187
Galio,41.4,258 / 365
Xin Zhao,41.4,180 / 255
Kayle,41.4,84 / 119
Teemo,41.0,155 / 223
Shyvana,40.9,108 / 156
Shaco,40.6,112 / 164
Jayce,40.5,179 / 263
Darius,39.9,203 / 306
Renekton,38.3,184 / 296
Garen,38.2,39 / 63
