Champion name,Win rate(%),Wins / losses
Singed,62.0,538 / 330
Dr. Mundo,61.2,139 / 88
Kled,61.0,192 / 123
Irelia,60.8,1551 / 1002
Tryndamere,60.2,412 / 272
Camille,58.8,1116 / 783
Kennen,58.7,274 / 193
Skarner,58.6,222 / 157
Fiora,58.3,910 / 650
Sion,57.8,219 / 160
Pyke,57.5,623 / 461
Udyr,57.5,572 / 423
Mordekaiser,57.3,480 / 357
Aatrox,56.9,1022 / 773
Jax,56.7,300 / 229
Hecarim,56.7,51 / 39
Nunu,54.7,223 / 185
Lissandra,54.3,50 / 42
Rakan,54.0,528 / 449
Illaoi,53.1,127 / 112
Ziggs,53.0,124 / 110
Warwick,52.4,287 / 261
Ahri,52.3,301 / 275
Sejuani,52.2,335 / 307
Ryze,52.2,200 / 183
Xayah,52.1,511 / 469
Ivern,52.0,690 / 636
Aurelion Sol,52.0,181 / 167
Alistar,51.8,430 / 400
Nautilus,51.7,468 / 438
Jarvan IV,51.7,121 / 113
Sivir,51.5,102 / 96
Sona,51.3,193 / 183
Leona,50.9,222 / 214
Aphelios,50.7,971 / 943
Zac,50.7,320 / 311
Blitzcrank,50.7,310 / 301
Evelynn,50.7,188 / 183
Katarina,50.7,184 / 179
Cassiopeia,50.6,502 / 490
Kassadin,50.6,207 / 202
Yasuo,50.5,465 / 455
Miss Fortune,50.5,377 / 369
Lee Sin,50.5,329 / 323
Yorick,50.5,51 / 50
Twitch,50.2,470 / 467
Bard,50.2,299 / 297
Kog'Maw,50.1,423 / 421
Caitlyn,50.0,371 / 371
Rek'Sai,50.0,354 / 354
Nidalee,50.0,350 / 350
Zoe,50.0,334 / 334
Draven,49.9,370 / 372
Nami,49.7,150 / 152
Zed,49.6,136 / 138
Riven,49.5,189 / 193
Vayne,49.4,465 / 476
Elise,49.3,352 / 362
Thresh,49.2,595 / 614
Zilean,49.2,251 / 259
Volibear,49.2,221 / 228
Xerath,49.0,307 / 320
Nocturne,49.0,50 / 52
Diana,48.9,68 / 71
Ezreal,48.8,680 / 714
Senna,48.8,611 / 640
Neeko,48.7,339 / 357
Jinx,48.5,419 / 445
Vel'Koz,48.5,409 / 434
Rumble,48.4,46 / 49
Jhin,48.3,354 / 379
Trundle,48.3,127 / 136
Cho'Gath,48.3,100 / 107
Amumu,48.3,70 / 75
Kalista,48.2,177 / 190
Vi,48.2,108 / 116
Twisted Fate,48.1,237 / 256
Rengar,48.1,140 / 151
Zyra,48.0,73 / 79
Graves,47.9,330 / 359
Malphite,47.9,67 / 73
Olaf,47.8,278 / 304
Morgana,47.8,163 / 178
Malzahar,47.8,141 / 154
Kai'Sa,47.6,403 / 444
Orianna,47.6,317 / 349
Syndra,47.6,290 / 319
Ashe,47.6,289 / 318
Taric,47.6,149 / 164
Annie,47.5,178 / 197
LeBlanc,47.3,228 / 254
Qiyana,47.3,182 / 203
Akali,47.2,194 / 217
Tristana,47.1,229 / 257
Azir,47.1,136 / 153
Karma,46.9,460 / 520
Karthus,46.9,314 / 356
Anivia,46.9,295 / 334
Rammus,46.9,107 / 121
Fiddlesticks,46.9,83 / 94
Janna,46.6,285 / 326
Yuumi,46.6,234 / 268
Varus,46.2,234 / 272
Ekko,46.1,310 / 362
Shen,46.0,332 / 390
Kindred,46.0,191 / 224
Soraka,46.0,182 / 214
Vladimir,46.0,103 / 121
Lulu,45.8,381 / 451
Viktor,45.8,146 / 173
Sylas,45.7,292 / 347
Lucian,45.6,371 / 443
Ornn,45.6,245 / 292
Sett,45.4,313 / 376
Braum,45.3,592 / 715
Pantheon,45.3,345 / 416
Gragas,45.2,136 / 165
Veigar,45.1,314 / 383
Poppy,44.4,260 / 326
Tahm Kench,44.1,326 / 414
Kha'Zix,44.0,367 / 468
Maokai,44.0,221 / 281
Master Yi,44.0,146 / 186
Fizz,43.9,105 / 134
Brand,43.7,93 / 120
Kayle,43.6,71 / 92
Heimerdinger,43.5,198 / 257
Talon,43.5,156 / 203
Galio,43.3,179 / 234
Nasus,43.2,89 / 117
Quinn,43.1,56 / 74
Xin Zhao,43.0,135 / 179
Taliyah,43.0,55 / 73
Gangplank,42.8,285 / 381
Swain,42.6,80 / 108
Gnar,42.5,128 / 173
Wukong,42.2,125 / 171
Teemo,42.0,55 / 76
Jayce,41.2,133 / 190
Darius,40.9,130 / 188
Shyvana,40.8,82 / 119
Lux,40.2,68 / 101
Urgot,39.7,29 / 44
Shaco,38.9,61 / 96
Garen,38.9,35 / 55
Corki,37.1,33 / 56
Renekton,36.9,142 / 243
