Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,T1 T1,Challenger - 180 LP,64.8,184 / 100,Soraka
#2,ADC,cryhard,Challenger - 139 LP,48.3,28 / 30,roysiggi
#3,Support,Aqua,Challenger - 84 LP,66.5,175 / 88,Trindor
#4,Jungle,Poppey,Challenger - 76 LP,54.7,312 / 258,NAVI
#5,Mid,BOOCAUWMOO,Challenger - 45 LP,49.6,212 / 215,BooCauwMoo
#6,Top,AshenOne,Challenger - 25 LP,59.9,121 / 81,Fells
#7,ADC,Deft,Challenger - 21 LP,56.8,227 / 173,TheStriker9
#8,Support,Egirl champs onl,Diamond I - 93 LP,54.7,209 / 173,Spooky
#9,Support,Anbeeld,Diamond I - 84 LP,57.0,254 / 192,Anbeeld
#10,Support,Maïwenn,Diamond I - 75 LP,52.9,139 / 124,DitIsDonny
#11,Mid,Giorno Giovanna,Diamond I - 71 LP,60.6,126 / 82,Ithirul
#12,Top,Top,Diamond I - 61 LP,57.1,108 / 81,jksad
#13,Mid,Frimmy23,Diamond I - 53 LP,58.6,289 / 204,YoloMedic
#14,Mid,violator,Diamond I - 48 LP,55.0,126 / 103,sanchesmemo
#15,Jungle,Pyosik,Diamond I - 43 LP,57.8,304 / 222,TheStriker9
#16,Jungle,Ceasarna,Diamond I - 43 LP,53.8,147 / 126,iampvm
#17,ADC,Kudor88888882141,Diamond I - 40 LP,52.0,142 / 131,Mac
#18,Support,Kutcher,Diamond I - 39 LP,52.3,139 / 127,Terra
#19,Jungle,Jinxnator,Diamond I - 35 LP,51.2,174 / 166,Jinxnator
#20,Jungle,Test2,Diamond I - 33 LP,51.2,126 / 120,test
#21,Jungle,funnel is dead,Diamond I - 28 LP,55.7,93 / 74,roysiggi
#22,ADC,Bilbo Gaggins,Diamond I - 24 LP,53.8,126 / 108,ImagineBaggins
#23,Top,Destructoid,Diamond I - 20 LP,49.3,138 / 142,YoloMedic
#24,Mid,Gezar,Diamond I - 20 LP,65.3,115 / 61,Kai
#25,ADC,Nero,Diamond I - 18 LP,56.5,118 / 91,Yzeerf
#26,Top,Zuko,Diamond I - 17 LP,51.8,129 / 120,Lior
#27,ADC,strawberry dog,Diamond I - 17 LP,53.6,120 / 104,annauwumarie
#28,ADC,Sylmarae,Diamond I - 16 LP,51.8,173 / 161,Kythaela
#29,ADC,Jotaro Kujo,Diamond I - 15 LP,53.5,185 / 161,Ithirul
#30,Support,Tratz,Diamond I - 12 LP,50.2,138 / 137,Tangil
#31,Mid,Foxy,Diamond I - 11 LP,55.0,177 / 145,Foxy
#32,ADC,Vortex_c4,Diamond I - 10 LP,52.3,123 / 112,LumiFumi
#33,Top,MrBochka,Diamond I - 8 LP,51.5,156 / 147,Anbeeld
#34,Top,Mr The Rat King,Diamond I - 8 LP,58.9,116 / 81,DangerousMolerat
#35,Jungle,Bibi,Diamond I - 3 LP,50.2,127 / 126,Troeton
#36,ADC,BöllerBusch,Diamond I - 2 LP,52.7,166 / 149,Jungler1337
#37,Top, IG TheShy,Diamond I - 1 LP,55.0,115 / 94,Oafers
#38,Support,Monkey Mokney,Diamond I - 1 LP,55.8,115 / 91,Ghacobe
#39,Jungle,JglBot,Diamond II - 97 LP,49.8,139 / 140,TangilBOT
#40,Jungle,EG Voutocu,Diamond II - 94 LP,51.3,159 / 151,EG Voutocu
#41,Support,Fells,Diamond II - 93 LP,53.2,109 / 96,Fells
#42,Jungle,Gnima,Diamond II - 92 LP,50.4,141 / 139,YoloMedic
#43,Mid,Salt,Diamond II - 90 LP,52.3,136 / 124,JMENDOZA
#44,Top,Salsa,Diamond II - 89 LP,57.3,243 / 181,YungYiga
#45,Support,MUD Ogre,Diamond II - 88 LP,51.0,180 / 173,Randomness12
