Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Deft,Challenger - 238 LP,60.1,307 / 204,TheStriker9
#2,Jungle,Pyosik,Challenger - 234 LP,61.1,425 / 271,TheStriker9
#3,Jungle,Poppey,Challenger - 188 LP,56.1,475 / 372,NAVI
#4,ADC,T1 T1,Challenger - 178 LP,65.0,267 / 144,Soraka
#5,Top,Salsa,Challenger - 103 LP,58.8,390 / 273,YungYiga
#6,Support,Aqua,Challenger - 99 LP,66.5,258 / 130,Trindor
#7,Support,Kutcher,Challenger - 64 LP,53.8,275 / 236,Terra
#8,ADC,cryhard,Challenger - 54 LP,53.9,166 / 142,roysiggi
#9,Mid,Frimmy23,Challenger - 50 LP,59.6,485 / 329,YoloMedic
#10,ADC,Sylmarae,Challenger - 37 LP,54.6,318 / 264,Kythaela
#11,Top,RNG Letme,Challenger - 34 LP,52.0,293 / 270,LPLAhri
#12,Support,CoreJJ,Challenger - 17 LP,51.5,277 / 261,Opticreed
#13,Support,Anbeeld,Challenger - 15 LP,56.5,363 / 280,Anbeeld
#14,ADC,Kadlin,Challenger - 6 LP,56.3,265 / 206,Jinxnator
#15,Mid,violator,Diamond I - 97 LP,56.0,283 / 222,sanchesmemo
#16,Jungle,Jinxnator,Diamond I - 92 LP,53.0,308 / 273,Jinxnator
#17,Jungle,Bibi,Diamond I - 85 LP,53.5,270 / 235,Troeton
#18,Support,Egirl champs onl,Diamond I - 84 LP,55.5,351 / 282,Spooky
#19,Support,MUD Ogre,Diamond I - 78 LP,52.5,289 / 261,Randomness12
#20,Top,Amouranth,Diamond I - 78 LP,52.3,375 / 342,Simp
#21,Jungle,GG Bekhali,Diamond I - 66 LP,54.2,163 / 138,Mac
#22,Top,Mr The Rat King,Diamond I - 64 LP,55.8,231 / 183,DangerousMolerat
#23,ADC,strawberry dog,Diamond I - 63 LP,50.9,264 / 255,annauwumarie
#24,Jungle,Gnima,Diamond I - 63 LP,52.3,272 / 248,YoloMedic
#25,Mid,Giorno Giovanna,Diamond I - 59 LP,57.0,251 / 189,Ithirul
#26,Support,Tratz,Diamond I - 59 LP,51.8,246 / 229,Tangil
#27,ADC,Reign,Diamond I - 55 LP,51.5,298 / 281,ephemeral
#28,Top,Zuko,Diamond I - 54 LP,53.1,262 / 231,Lior
#29,Support,Trick789,Diamond I - 54 LP,54.7,208 / 172,Landmeeuw
#30,ADC,Jotaro Kujo,Diamond I - 53 LP,54.2,320 / 270,Ithirul
#31,Mid,Flame,Diamond I - 48 LP,51.7,241 / 225,Hit_Critical
#32,Top,Top,Diamond I - 48 LP,55.0,213 / 174,jksad
#33,Mid,Bye Bye Driver,Diamond I - 48 LP,51.7,274 / 256,110110010011
#34,ADC,TES Jackeylove,Diamond I - 46 LP,51.7,285 / 266,LPLAhri
#35,Mid,Lucius ,Diamond I - 45 LP,51.4,208 / 197,Jungler1337
#36,Top,Destructoid,Diamond I - 41 LP,50.7,270 / 263,YoloMedic
#37,ADC,BöllerBusch,Diamond I - 41 LP,52.2,291 / 267,Jungler1337
#38,Top,Ezio,Diamond I - 40 LP,51.7,256 / 239,TexeQ
#39,Mid,MidBot,Diamond I - 38 LP,51.3,257 / 244,TangilBOT
#40,Jungle,110110010011,Diamond I - 37 LP,53.6,310 / 268,110110010011
#41,Mid,Foxy,Diamond I - 35 LP,54.4,298 / 250,Foxy
#42,Support,KuroKy,Diamond I - 35 LP,49.4,270 / 277,NAVI
#43,Top,Punchaubuns,Diamond I - 34 LP,53.9,207 / 177,LumiFumi
#44,Mid,TES Jackeylove,Diamond I - 34 LP,49.3,177 / 182,Tokyo Smurfer
#45,Support,Emwues24,Diamond I - 33 LP,49.8,252 / 254,Jinxnator
#46,Support,Keria,Diamond I - 30 LP,50.3,258 / 255,TheStriker9
#47,Support,Tiriana,Diamond I - 29 LP,51.5,274 / 258,Kythaela
#48,Jungle,JglBot,Diamond I - 28 LP,50.1,268 / 267,TangilBOT
#49,Support,flaree,Diamond I - 27 LP,49.6,196 / 199,sanchesmemo
#50,Jungle,Sparrow,Diamond I - 26 LP,49.2,248 / 256,Anbeeld
#51,Mid,GummyBear,Diamond I - 26 LP,54.0,298 / 254,Spezza
#52,ADC,Test4,Diamond I - 25 LP,52.3,234 / 213,test
#53,Support,ZaZa,Diamond I - 24 LP,47.6,233 / 256,ephemeral
#54,Jungle,Superb,Diamond I - 23 LP,50.0,254 / 254,Spezza
#55,Top,Jodko,Diamond I - 22 LP,50.2,243 / 241,Jinxnator
#56,ADC,PepeLaugh,Diamond I - 22 LP,47.5,296 / 327,LS
#57,Support,Fells,Diamond I - 21 LP,50.9,217 / 209,Fells
#58,Mid,Slimsnoker,Diamond I - 21 LP,52.1,197 / 181,Slimsnoker
#59,Jungle,Pheoldre,Diamond I - 20 LP,49.9,289 / 290,Kythaela
#60,Top, IG TheShy,Diamond I - 20 LP,53.5,229 / 199,Oafers
#61,Jungle,David Chen,Diamond I - 20 LP,48.9,230 / 240,DitIsDonny
#62,ADC,Bilbo Gaggins,Diamond I - 20 LP,52.8,238 / 213,ImagineBaggins
#63,Mid,BottleCaps,Diamond I - 19 LP,50.7,244 / 237,Phost
#64,Support,BoquitaCampeon,Diamond I - 19 LP,53.9,209 / 179,Jon_14
#65,Jungle,EG Voutocu,Diamond I - 17 LP,51.7,295 / 276,EG Voutocu
#66,Support,春夜蓝,Diamond I - 17 LP,55.9,229 / 181,sayluca
#67,Top,Large brain,Diamond I - 16 LP,55.2,186 / 151,snakemaster56
#68,Jungle,Zwijaczloli,Diamond I - 15 LP,51.1,161 / 154,NoszczaKrul
#69,ADC,Prodigy,Diamond I - 14 LP,52.1,172 / 158,CoachYouGen
