Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,tarzaned,Challenger - 676 LP,71.1,189 / 77,Tyler1
#2,Support,HelpingX,Challenger - 558 LP,65.7,286 / 149,Felixxx
#3,Jungle,AttSeeker,Challenger - 503 LP,65.6,254 / 133,PaxVan
#4,Mid,Etosh,Challenger - 502 LP,61.2,252 / 160,Etosh
#5,Jungle,Shitfeather,Challenger - 460 LP,65.4,287 / 152,hiroli
#6,Mid,Chovy,Challenger - 446 LP,59.2,286 / 197,TheStriker9
#7,Top,TopBot,Challenger - 416 LP,56.4,273 / 211,TangilBOT
#8,Mid,Jarl Mid,Challenger - 390 LP,61.6,221 / 138,Jarl
#9,Jungle,Wakes,Challenger - 358 LP,60.4,373 / 245,alim
#10,Jungle,junglekek,Challenger - 358 LP,58.8,208 / 146,redeemer
#11,Mid,The_Ghost16,Challenger - 353 LP,58.8,265 / 186,Sb1
#12,Mid,Choky,Challenger - 350 LP,56.6,241 / 185,Key
#13,Top,Ayu,Challenger - 343 LP,54.1,296 / 251,Bitesized
#14,Support,unicornpetpetuwu,Challenger - 329 LP,57.3,236 / 176,GamerGirls
#15,ADC,Pokimane,Challenger - 328 LP,57.4,274 / 203,Simp
#16,Mid,Wrekz,Challenger - 322 LP,52.2,398 / 365,alim
#17,Support,Rookie,Challenger - 322 LP,61.6,196 / 122,LordArtos
#18,Mid,Tupac,Challenger - 315 LP,58.1,241 / 174,Pranceof
#19,Mid,Kiddlazy,Challenger - 287 LP,54.1,257 / 218,Gawaine
#20,Top,Human Tornado,Challenger - 280 LP,54.0,269 / 229,Etosh
#21,Jungle,Stupid Jungler,Challenger - 273 LP,65.0,256 / 138,PooPooPeePee
#22,Mid,Exodia,Challenger - 268 LP,57.4,197 / 146,yugi
#23,Jungle,DoperThanDopa,Challenger - 265 LP,55.7,322 / 256,yukioken
#24,Top,JollyGiant,Challenger - 258 LP,56.6,270 / 207,[email protected]
#25,Support,Keria,Challenger - 258 LP,54.8,252 / 208,TheStriker9
#26,Support,Aeryn,Challenger - 256 LP,56.0,251 / 197,WildChoas
#27,Jungle,Souless,Challenger - 256 LP,56.7,286 / 218,Bitesized
#28,ADC,sandbox15,Challenger - 255 LP,55.9,297 / 234,
#29,ADC,NewMeta,Challenger - 253 LP,56.0,372 / 292,moxir
#30,Jungle,Umbral,Challenger - 243 LP,55.8,227 / 180,Indoraps
#31,Top,Ooga,Challenger - 240 LP,62.0,271 / 166,Poggersnation
#32,Jungle,Terrified,Challenger - 236 LP,52.8,261 / 233,MaverickG
#33,ADC,Ree-ason,Challenger - 228 LP,56.5,257 / 198,hmphree
#34,ADC,Carrot,Challenger - 226 LP,51.5,273 / 257,Haram
#35,Support,Chrome,Challenger - 216 LP,53.6,301 / 261,Memersticks
#36,Support,Princess,Challenger - 215 LP,56.3,215 / 167,Princess
#37,ADC,Primmish,Challenger - 215 LP,53.8,262 / 225,Trindor
#38,Mid,SrqUe,Challenger - 211 LP,54.3,374 / 315,moxir
#39,Jungle,sandbox5,Challenger - 210 LP,54.7,215 / 178,
#40,Mid,Cody275,Challenger - 204 LP,54.4,270 / 226,[email protected]
#41,Jungle,Shard,Challenger - 201 LP,53.7,296 / 255,Memersticks
#42,Jungle,Methodz,Challenger - 195 LP,53.0,220 / 195,Trindor
#43,Top,Heimerdonger,Challenger - 193 LP,57.5,266 / 197,TimoMacDonut
#44,Top,DoinB,Challenger - 187 LP,55.0,230 / 188,LordArtos
#45,Top,topkek,Challenger - 181 LP,51.2,280 / 267,redeemer
#46,Mid,sandbox10,Challenger - 175 LP,51.9,277 / 257,
#47,Support,Fekker,Challenger - 172 LP,53.9,213 / 182,Key
