Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Rabbit4,Challenger - 287 LP,60.7,446 / 289,willchungtester
#2,Support,HelpingX,Challenger - 245 LP,61.2,501 / 318,Felixxx
#3,Jungle,tarzaned,Challenger - 243 LP,60.8,602 / 388,Tyler1
#4,Top,Scarra,Challenger - 208 LP,63.4,560 / 323,OfflineTV
#5,Jungle,Stupid Jungler,Challenger - 205 LP,62.9,579 / 342,PooPooPeePee
#6,Support,Eclipsed,Challenger - 128 LP,56.5,766 / 590,cmoney847
#7,Jungle,Canyon,Challenger - 84 LP,59.5,593 / 404,YamatoCannon
#8,Jungle,Freja,Challenger - 77 LP,58.8,745 / 521,ornstein123
#9,Jungle,SmelliElli,Challenger - 71 LP,58.5,634 / 449,bigjon
#10,Jungle,Aela ,Challenger - 63 LP,58.5,593 / 420,MolscarZX
#11,ADC,Rem-chan,Challenger - 57 LP,56.2,597 / 466,Kuurys
#12,Top,DoinB,Challenger - 49 LP,58.3,666 / 477,LordArtos
#13,Jungle,AttSeeker,Challenger - 48 LP,59.0,740 / 514,PaxVan
#14,ADC,lumbago,Challenger - 45 LP,52.4,514 / 466,debauchery
#15,Jungle,Kaltch,Challenger - 43 LP,61.1,492 / 313,Princess
#16,Top,SheIsLegal,Challenger - 42 LP,56.0,709 / 557,PaxVan
#17,Top,cp mccreamy,Challenger - 40 LP,56.9,762 / 578,Meow woeM
#18,Jungle,Clid 2.0,Challenger - 37 LP,55.8,632 / 500,Coach_Kim
#19,Top,Alistar top,Challenger - 31 LP,55.3,713 / 576,roysiggi 2 
#20,Top,GuppyMilk,Challenger - 22 LP,57.6,631 / 464,gespenst
#21,ADC,snky,Challenger - 22 LP,56.3,641 / 497,haxplague1
#22,ADC,Abeel,Challenger - 19 LP,52.1,562 / 517,NismanSlayer
#23,Support,Emwues24,Challenger - 19 LP,50.7,586 / 569,Jinxnator
#24,Top,HighClassInter,Challenger - 17 LP,53.1,726 / 642,kcheng6996
#25,Support,DieFliegendeKuh,Challenger - 11 LP,53.6,755 / 654,doofboy13
#26,Jungle,Prophet,Challenger - 8 LP,57.8,723 / 528,Four
#27,Mid,0/10 yasuo,Challenger - 8 LP,53.9,731 / 626,aquietghost
#28,Support,Aeryn,Challenger - 2 LP,52.4,670 / 609,WildChoas
#29,Top,WoodenInternet,Challenger - 2 LP,55.0,641 / 525,TheShruik2
#30,Mid,Chovy,Challenger - 2 LP,60.3,770 / 508,TheStriker9
#31,Support,DedeKong,Diamond I - 98 LP,50.1,677 / 673,PooPooPeePee
#32,ADC,fnc jjboce adc,Diamond I - 96 LP,52.0,638 / 590,jjboce
#33,Mid,Factor,Diamond I - 96 LP,56.5,743 / 573,thefactor7
#34,Top,KSet,Diamond I - 96 LP,54.9,628 / 516,CJackz
#35,Support,Rookie,Diamond I - 96 LP,56.4,640 / 494,LordArtos
#36,Jungle,Nunu V2,Diamond I - 94 LP,58.8,805 / 564,willchung1024
#37,Support,Grewpolis,Diamond I - 85 LP,51.1,617 / 591,Dicliffier
#38,Support,Princess,Diamond I - 84 LP,60.6,467 / 303,Princess
#39,Support,Stracchino,Diamond I - 84 LP,53.0,439 / 390,LovelyKangaroo
#40,Jungle,110110010011,Diamond I - 78 LP,56.3,731 / 567,110110010011
#41,Support,Oxman,Diamond I - 77 LP,54.7,585 / 485,LeXas
#42,ADC,Karma,Diamond I - 76 LP,55.9,567 / 447,Dark Pact
#43,Mid,Roaming Idiot,Diamond I - 75 LP,50.2,630 / 626,Darkheart
#44,Jungle,Papafrita,Diamond I - 75 LP,59.3,687 / 471,NismanSlayer
#45,Support,Phoquiche ,Diamond I - 74 LP,54.7,674 / 559,Phoquiche 
#46,ADC,Coldest,Diamond I - 71 LP,50.2,558 / 554,MaverickG
#47,Support,fnc jjboce sup,Diamond I - 70 LP,55.1,673 / 548,jjboce
#48,ADC,Green Arrow,Diamond I - 69 LP,53.4,576 / 503,JamesM
#49,Mid,garbz,Diamond I - 69 LP,53.2,809 / 712,garbz
#50,Top,PincikCZ,Diamond I - 68 LP,53.1,641 / 567,GAMEUJU
#51,Jungle,BigBillsPlatypus,Diamond I - 66 LP,57.3,749 / 558,Viserra0325
#52,ADC,UziisBack,Diamond I - 65 LP,50.1,704 / 702,Zettohail
#53,Jungle,a tsm reject,Diamond I - 64 LP,52.3,729 / 666,aquietghost
#54,Top,Dyronus,Diamond I - 63 LP,53.8,395 / 339,whirlywind
#55,Top,Brainless Idiot,Diamond I - 61 LP,53.9,709 / 606,Darkheart
#56,Jungle,TheSecretWeapon,Diamond I - 60 LP,56.2,667 / 519,Erknaite
#57,ADC,Nieuss,Diamond I - 60 LP,54.8,556 / 458,Nieuss
#58,Support,unicornpetpetuwu,Diamond I - 59 LP,58.8,398 / 279,GamerGirls
#59,Top,SilSol,Diamond I - 58 LP,57.0,655 / 494,silsoleuw
#60,Top,Qavv,Diamond I - 55 LP,52.7,625 / 560,Eqqrollss
#61,Jungle,DarkJ,Diamond I - 55 LP,54.3,673 / 567,remixitagain
#62,ADC,Huangdi,Diamond I - 55 LP,54.7,562 / 466,Anzaielh
#63,Top,TopBot,Diamond I - 55 LP,50.3,549 / 543,TangilBOT
#64,ADC,Panda,Diamond I - 54 LP,50.6,497 / 485,Wormy -iwtd-
#65,Top,Fabrizio Frizzi,Diamond I - 53 LP,55.9,716 / 565,CQANQKA
#66,Top,Halekild,Diamond I - 53 LP,52.7,863 / 774,Elythys
#67,Top,CHADWICK,Diamond I - 52 LP,55.6,456 / 364,MaverickG2
#68,Jungle,Jinxnator,Diamond I - 52 LP,52.8,958 / 857,Jinxnator
#69,Jungle,Blind Idiot,Diamond I - 51 LP,56.6,844 / 647,Darkheart
#70,Mid,Buddha Gautama,Diamond I - 50 LP,51.7,639 / 597,meroaga
#71,Mid,MidHE,Diamond I - 49 LP,53.5,765 / 665,tyrion
#72,Mid,Michizurf,Diamond I - 49 LP,56.0,409 / 322,Kaspookyy
#73,Support,Dill Doe,Diamond I - 49 LP,55.5,304 / 244,Agentdj
#74,Top,jayce top only,Diamond I - 49 LP,54.1,685 / 582,aquietghost
#75,Jungle,Geralt,Diamond I - 49 LP,47.8,762 / 832,warmi024
#76,ADC,Leysu,Diamond I - 48 LP,51.3,574 / 546,Memersticks
#77,Mid,Midlaner23,Diamond I - 47 LP,53.0,758 / 672,js2614
#78,Support,JaoLan,Diamond I - 46 LP,49.8,809 / 814,kcheng6996
#79,ADC,Sasuke,Diamond I - 46 LP,49.7,515 / 522,Team7
#80,Jungle,EEJ,Diamond I - 45 LP,52.1,743 / 684,eternityends
#81,ADC,Lidl Bear,Diamond I - 44 LP,53.7,726 / 627,wertyce
#82,Jungle,RedPandaMochi,Diamond I - 43 LP,49.8,740 / 745,Gawaine
#83,Mid,NameOfYourMid,Diamond I - 43 LP,52.5,604 / 546,BigBrain
#84,Jungle,Kanavi,Diamond I - 43 LP,49.8,566 / 571,xingst
#85,Support,Salut,Diamond I - 43 LP,51.6,731 / 686,moxir
#86,Mid,Rabbit8,Diamond I - 42 LP,54.3,641 / 540,racingrabbits3
#87,Jungle,DardochMental,Diamond I - 42 LP,49.6,642 / 652,kcheng6996
#88,Support,LordPingRoll,Diamond I - 42 LP,48.6,575 / 608,yukioken
#89,ADC,Soju,Diamond I - 42 LP,54.4,867 / 726,Bitesized
#90,Jungle,Souless,Diamond I - 42 LP,56.8,1100 / 835,Bitesized
#91,Jungle,Senbonzakura,Diamond I - 42 LP,50.7,696 / 676,PacoPeco
#92,Support,Jesus ,Diamond I - 41 LP,53.0,299 / 265,meroaga
#93,ADC,JayZ,Diamond I - 41 LP,50.1,471 / 469,Champions
#94,ADC,Devo,Diamond I - 40 LP,54.9,392 / 322,Jateey
#95,Support,Backpack,Diamond I - 40 LP,51.7,701 / 655,Zettohail
#96,ADC,Cryhard II,Diamond I - 40 LP,55.7,715 / 568,roysiggi
#97,ADC,Meta Bot,Diamond I - 39 LP,51.8,441 / 410,tkrow
