Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Rabbit4,Challenger - 291 LP,60.7,447 / 289,willchungtester
#2,Support,HelpingX,Challenger - 249 LP,61.2,502 / 318,Felixxx
#3,Jungle,tarzaned,Challenger - 209 LP,60.7,605 / 391,Tyler1
#4,Jungle,Stupid Jungler,Challenger - 205 LP,62.9,579 / 342,PooPooPeePee
#5,Top,Scarra,Challenger - 171 LP,63.3,563 / 327,OfflineTV
#6,Support,Eclipsed,Challenger - 121 LP,56.4,766 / 591,cmoney847
#7,Jungle,Canyon,Challenger - 95 LP,59.6,596 / 404,YamatoCannon
#8,Jungle,Aela ,Challenger - 76 LP,58.7,596 / 420,MolscarZX
#9,Jungle,Freja,Challenger - 65 LP,58.7,746 / 524,ornstein123
#10,ADC,Rem-chan,Challenger - 61 LP,56.2,602 / 469,Kuurys
#11,Jungle,SmelliElli,Challenger - 58 LP,58.4,635 / 452,bigjon
#12,Jungle,AttSeeker,Challenger - 56 LP,59.1,742 / 514,PaxVan
#13,Jungle,Kaltch,Challenger - 49 LP,61.2,495 / 314,Princess
#14,Top,DoinB,Challenger - 49 LP,58.3,669 / 479,LordArtos
#15,Top,SheIsLegal,Challenger - 47 LP,56.0,711 / 558,PaxVan
#16,ADC,lumbago,Challenger - 45 LP,52.5,517 / 468,debauchery
#17,Jungle,Nunu V2,Challenger - 44 LP,59.0,815 / 567,willchung1024
#18,Top,Alistar top,Challenger - 36 LP,55.4,716 / 577,roysiggi 2 
#19,Top,GuppyMilk,Challenger - 31 LP,57.7,635 / 465,gespenst
#20,Support,DieFliegendeKuh,Challenger - 28 LP,53.7,762 / 656,doofboy13
#21,Jungle,Clid 2.0,Challenger - 27 LP,55.7,632 / 502,Coach_Kim
#22,Support,unicornpetpetuwu,Challenger - 21 LP,59.2,409 / 282,GamerGirls
#23,ADC,snky,Challenger - 19 LP,56.3,646 / 501,haxplague1
#24,Mid,Factor,Challenger - 9 LP,56.6,749 / 575,thefactor7
#25,Top,KSet,Challenger - 7 LP,55.0,634 / 518,CJackz
#26,Jungle,Prophet,Challenger - 6 LP,57.8,727 / 531,Four
#27,Support,Emwues24,Challenger - 4 LP,50.6,588 / 573,Jinxnator
#28,Top,cp mccreamy,Diamond I - 99 LP,56.8,767 / 583,Meow woeM
#29,Top,Fennixkz,Diamond I - 98 LP,52.0,660 / 609,Erknaite
#30,Top,HighClassInter,Diamond I - 95 LP,53.1,732 / 646,kcheng6996
#31,ADC,fnc jjboce adc,Diamond I - 95 LP,52.0,641 / 592,jjboce
#32,Support,Rookie,Diamond I - 94 LP,56.4,646 / 499,LordArtos
#33,ADC,Soju,Diamond I - 93 LP,54.6,876 / 727,Bitesized
#34,Top,WoodenInternet,Diamond I - 91 LP,54.9,646 / 531,TheShruik2
#35,Jungle,Papafrita,Diamond I - 90 LP,59.3,696 / 478,NismanSlayer
#36,Support,Grewpolis,Diamond I - 89 LP,51.2,622 / 594,Dicliffier
#37,Support,Phoquiche ,Diamond I - 89 LP,54.9,684 / 563,Phoquiche 
#38,Jungle,TheSecretWeapon,Diamond I - 85 LP,56.6,695 / 534,Erknaite
#39,Support,DedeKong,Diamond I - 84 LP,50.1,681 / 679,PooPooPeePee
#40,Mid,Chovy,Diamond I - 82 LP,60.0,776 / 517,TheStriker9
#41,ADC,Abeel,Diamond I - 81 LP,52.1,566 / 520,NismanSlayer
#42,Jungle,Blind Idiot,Diamond I - 77 LP,56.8,853 / 648,Darkheart
#43,Jungle,110110010011,Diamond I - 76 LP,56.4,736 / 570,110110010011
#44,Top,Toplaner23,Diamond I - 75 LP,50.0,659 / 659,js2614
#45,Top,PincikCZ,Diamond I - 74 LP,53.2,648 / 571,GAMEUJU
#46,ADC,Green Arrow,Diamond I - 73 LP,53.4,581 / 506,JamesM
#47,Mid,0/10 yasuo,Diamond I - 73 LP,53.9,738 / 631,aquietghost
#48,Mid,Rabbit8,Diamond I - 71 LP,54.6,651 / 542,racingrabbits3
#49,ADC,Nieuss,Diamond I - 71 LP,54.9,561 / 460,Nieuss
#50,ADC,Karma,Diamond I - 70 LP,55.9,571 / 451,Dark Pact
#51,Support,ZipTone,Diamond I - 70 LP,52.4,580 / 526,Noble109
#52,Support,Princess,Diamond I - 69 LP,60.4,474 / 311,Princess
#53,Jungle,Souless,Diamond I - 68 LP,56.9,1111 / 841,Bitesized
#54,ADC,H0,Diamond I - 66 LP,50.3,606 / 598,willchung1024
#55,ADC,UziisBack,Diamond I - 66 LP,50.0,707 / 707,Zettohail
#56,Jungle,BigBillsPlatypus,Diamond I - 64 LP,57.3,758 / 565,Viserra0325
#57,Mid,Katerino,Diamond I - 64 LP,49.2,732 / 757,Champions
#58,Support,fnc jjboce sup,Diamond I - 63 LP,55.1,677 / 552,jjboce
#59,ADC,LonelySoyboy,Diamond I - 62 LP,48.5,610 / 649,LS
#60,ADC,Lidl Bear,Diamond I - 60 LP,53.8,731 / 628,wertyce
#61,Support,Stracchino,Diamond I - 60 LP,52.7,440 / 395,LovelyKangaroo
#62,ADC,Panda,Diamond I - 60 LP,50.8,502 / 487,Wormy -iwtd-
#63,Top,CHADWICK,Diamond I - 58 LP,55.7,461 / 366,MaverickG2
#64,Mid,Heleneski,Diamond I - 58 LP,52.3,777 / 709,PooPooPeePee
#65,Support,Backpack,Diamond I - 58 LP,51.9,706 / 655,Zettohail
#66,Support,Salut,Diamond I - 57 LP,51.6,741 / 694,moxir
#67,Top,Halekild,Diamond I - 57 LP,52.8,867 / 776,Elythys
#68,Support,Oxman,Diamond I - 55 LP,54.5,587 / 491,LeXas
#69,Jungle,ggbebe,Diamond I - 55 LP,56.6,1019 / 780,garbz
#70,ADC,Devo,Diamond I - 55 LP,55.1,400 / 326,Jateey
#71,ADC,Coldest,Diamond I - 54 LP,50.1,563 / 561,MaverickG
#72,Jungle,EIIim,Diamond I - 53 LP,55.3,688 / 557,T1 Kim
#73,Top,Fabrizio Frizzi,Diamond I - 53 LP,55.9,722 / 569,CQANQKA
#74,Mid,Michizurf,Diamond I - 52 LP,56.0,415 / 326,Kaspookyy
#75,Top,Brainless Idiot,Diamond I - 52 LP,53.9,712 / 610,Darkheart
#76,ADC,Tha Toad,Diamond I - 52 LP,52.8,559 / 500,Tha toad
#77,Top,SilSol,Diamond I - 51 LP,56.9,658 / 498,silsoleuw
#78,Top,The Shy 2.0,Diamond I - 51 LP,54.3,656 / 551,Coach_Kim
#79,Jungle,Kanavi,Diamond I - 51 LP,49.8,572 / 576,xingst
#80,Top,Rantaro,Diamond I - 50 LP,54.9,712 / 586,rrice
#81,Jungle,Terrified,Diamond I - 49 LP,55.5,1108 / 889,MaverickG
#82,Support,chansey,Diamond I - 48 LP,52.6,648 / 583,Maouned
#83,ADC,Pokimane,Diamond I - 48 LP,55.0,693 / 566,Simp
#84,Mid,Roaming Idiot,Diamond I - 47 LP,50.0,632 / 633,Darkheart
#85,Top,EET,Diamond I - 47 LP,53.7,572 / 494,eternityends
#86,Mid,Master Jim,Diamond I - 46 LP,55.0,577 / 473,dericos
#87,Jungle,RedPandaMochi,Diamond I - 46 LP,49.9,744 / 747,Gawaine
#88,Mid,NameOfYourMid,Diamond I - 46 LP,52.6,609 / 549,BigBrain
#89,Mid,Buddha Gautama,Diamond I - 45 LP,51.7,653 / 611,meroaga
#90,Jungle,Jinxnator,Diamond I - 45 LP,52.7,961 / 861,Jinxnator
#91,Support,LordPingRoll,Diamond I - 44 LP,48.7,579 / 610,yukioken
#92,Top,Dyronus,Diamond I - 43 LP,53.5,398 / 346,whirlywind
#93,Jungle,Senbonzakura,Diamond I - 42 LP,50.8,701 / 680,PacoPeco
#94,Mid,Choky,Diamond I - 42 LP,54.9,766 / 630,Key
#95,ADC,Meta Bot,Diamond I - 41 LP,51.9,446 / 413,tkrow
#96,Mid,garbz,Diamond I - 41 LP,53.2,816 / 718,garbz
#97,ADC,Carry Idiot,Diamond I - 40 LP,48.2,585 / 628,Darkheart
#98,Top,Qavv,Diamond I - 39 LP,52.6,626 / 564,Eqqrollss
#99,Support,LARRY,Diamond I - 38 LP,54.3,311 / 262,MaverickG2
#100,Mid,midhigh,Diamond I - 38 LP,57.8,484 / 353,squzz
