Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Rabbit4,Challenger - 270 LP,60.6,453 / 295,willchungtester
#2,Support,HelpingX,Challenger - 198 LP,61.6,593 / 370,Felixxx
#3,Jungle,tarzaned,Challenger - 193 LP,61.4,692 / 435,Tyler1
#4,Jungle,Stupid Jungler,Challenger - 185 LP,62.8,653 / 386,PooPooPeePee
#5,Jungle,AttSeeker,Challenger - 183 LP,60.1,874 / 580,PaxVan
#6,Top,DoinB,Challenger - 134 LP,58.4,783 / 558,LordArtos
#7,Top,Scarra,Challenger - 124 LP,63.2,670 / 390,OfflineTV
#8,Top,Fabrizio Frizzi,Challenger - 111 LP,55.9,844 / 665,CQANQKA
#9,Jungle,Prophet,Challenger - 103 LP,58.5,785 / 556,Four
#10,Jungle,SmelliElli,Challenger - 86 LP,58.4,684 / 487,bigjon
#11,Top,SheIsLegal,Challenger - 80 LP,56.6,874 / 669,PaxVan
#12,Jungle,Freja,Challenger - 76 LP,58.4,861 / 613,ornstein123
#13,Jungle,Souless,Challenger - 63 LP,57.1,1304 / 978,Bitesized
#14,ADC,lumbago,Challenger - 49 LP,53.4,609 / 531,debauchery
#15,Support,suppbeast777,Challenger - 48 LP,55.1,860 / 701,squzzz
#16,Support,Salut,Challenger - 45 LP,51.9,869 / 806,moxir
#17,Mid,Factor,Challenger - 44 LP,56.8,851 / 647,thefactor7
#18,Top,Ayu,Challenger - 41 LP,55.4,944 / 759,Bitesized
#19,Support,Rookie,Challenger - 41 LP,56.9,795 / 601,LordArtos
#20,Top,pulsion,Challenger - 36 LP,56.2,937 / 730,garbz
#21,Jungle,ggbebe,Challenger - 34 LP,57.2,1141 / 853,garbz
#22,Mid,Bournoff,Challenger - 32 LP,50.2,616 / 611,reaganhau
#23,Jungle,Papafrita,Challenger - 28 LP,59.5,782 / 533,NismanSlayer
#24,Support,Eclipsed,Challenger - 27 LP,56.3,884 / 685,cmoney847
#25,Jungle,Nunu V2,Challenger - 25 LP,59.0,878 / 609,willchung1024
#26,Support,KC Helaz,Challenger - 24 LP,59.3,478 / 328,kcorp
#27,ADC,Rem-chan,Challenger - 20 LP,56.0,698 / 548,Kuurys
#28,ADC,fnc jjboce adc,Challenger - 19 LP,52.6,739 / 665,jjboce
#29,Jungle,Equilibrium,Challenger - 17 LP,53.5,982 / 855,wertyce
#30,Jungle,Terrified,Challenger - 14 LP,55.7,1244 / 991,MaverickG
#31,ADC,Slayer,Challenger - 12 LP,48.9,752 / 785,GooseHouse
#32,Support,xplayz4dayz,Challenger - 12 LP,57.9,731 / 532,froggen
#33,Support,Violette,Challenger - 8 LP,51.7,741 / 692,TheRedMan88
#34,Mid,midhigh,Challenger - 7 LP,57.9,625 / 455,squzz
#35,Top,0 Sera,Challenger - 3 LP,50.3,619 / 611,Ghost93EUW
#36,Mid,Chovy,Challenger - 1 LP,59.5,920 / 627,TheStriker9
#37,ADC,-200 years,Diamond I - 96 LP,51.8,753 / 701,aquietghost
#38,Top,Brennus,Diamond I - 95 LP,52.2,770 / 705,darkhorse298
#39,Mid,Meta Mid,Diamond I - 94 LP,56.8,840 / 640,tkrow
#40,ADC,Noob,Diamond I - 94 LP,55.4,779 / 627,Baleygr
#41,Mid,SimonzeMK,Diamond I - 92 LP,48.5,712 / 757,TheRedMan88
#42,ADC,invention,Diamond I - 90 LP,54.2,913 / 772,garbz
#43,Jungle,Geralt,Diamond I - 89 LP,49.7,940 / 950,warmi024
#44,Jungle,Canyon,Diamond I - 87 LP,58.6,676 / 478,YamatoCannon
#45,Mid,DeliciousMilk,Diamond I - 86 LP,54.2,1047 / 884,Bitesized
#46,Top,FarmFarmFarm,Diamond I - 84 LP,55.3,866 / 699,moonrat
#47,Jungle,Clid 2.0,Diamond I - 84 LP,55.7,723 / 576,Coach_Kim
#48,Jungle,Heroofthevalley,Diamond I - 81 LP,57.2,754 / 564,Tha toad
#49,Mid,Ciri,Diamond I - 81 LP,51.6,901 / 844,warmi024
#50,ADC,CHU2,Diamond I - 80 LP,50.6,684 / 668,Mevious
#51,Jungle,TheSecretWeapon,Diamond I - 79 LP,56.6,808 / 619,Erknaite
#52,ADC,GAMEUJU,Diamond I - 77 LP,49.8,807 / 814,GAMEUJU
#53,Jungle,Jungwoo,Diamond I - 76 LP,54.5,804 / 670,DumbOne
#54,ADC,GigaBlack,Diamond I - 74 LP,52.8,567 / 507,BBG Black
#55,Mid,garbz,Diamond I - 72 LP,53.6,950 / 821,garbz
#56,Top,Dio,Diamond I - 71 LP,57.5,505 / 374,bigboi
#57,Jungle,Kaltch,Diamond I - 71 LP,60.9,587 / 377,Princess
#58,Mid,Anežka,Diamond I - 70 LP,52.1,821 / 754,GAMEUJU
#59,Jungle,BlabberFIsh,Diamond I - 69 LP,57.7,805 / 590,Meteo
#60,Jungle,Heimerschlonger,Diamond I - 69 LP,48.5,836 / 886,TimoMacDonut
#61,Mid,MidHE,Diamond I - 67 LP,53.8,904 / 776,tyrion
#62,Jungle,Ellim,Diamond I - 67 LP,52.3,842 / 767,Caleum
#63,Top,Alistar top,Diamond I - 66 LP,55.2,824 / 670,roysiggi 2 
#64,Top,jayce top only,Diamond I - 65 LP,54.1,823 / 698,aquietghost
#65,Top,Heimerdonger,Diamond I - 63 LP,54.9,957 / 787,TimoMacDonut
#66,Jungle,Methodz,Diamond I - 62 LP,53.2,971 / 854,Trindor
#67,Top,Kingen,Diamond I - 59 LP,57.0,942 / 711,Maffayoo
#68,Jungle,a tsm reject,Diamond I - 59 LP,53.2,891 / 785,aquietghost
#69,Top,Fennixkz,Diamond I - 58 LP,51.7,740 / 691,Erknaite
#70,Jungle,Bliz,Diamond I - 58 LP,51.8,873 / 813,GooseHouse
#71,Support,Phoquiche ,Diamond I - 57 LP,55.1,794 / 647,Phoquiche 
#72,Mid,Taco,Diamond I - 57 LP,52.2,550 / 504,Mac
#73,Jungle,EricDoesntSux,Diamond I - 55 LP,56.6,842 / 646,kyleperkins
#74,Support,AfroPerkins,Diamond I - 54 LP,52.1,680 / 624,kyleperkins
#75,Jungle,DardochMental,Diamond I - 53 LP,50.9,846 / 816,kcheng6996
#76,ADC,cumshot,Diamond I - 53 LP,51.0,769 / 740,crownshot
#77,Support,pneu,Diamond I - 52 LP,53.8,949 / 815,garbz
#78,Mid,Midkekw,Diamond I - 51 LP,48.8,375 / 393,shaqui
#79,Support,Oxman,Diamond I - 51 LP,54.9,689 / 565,LeXas
#80,Mid,Ciaran,Diamond I - 50 LP,53.4,1004 / 875,ebaines
#81,ADC,snky,Diamond I - 48 LP,56.2,759 / 591,haxplague1
#82,Jungle,Aela ,Diamond I - 48 LP,57.8,678 / 495,MolscarZX
#83,Top,Halekild,Diamond I - 48 LP,52.8,983 / 877,Elythys
#84,ADC,Strahovski,Diamond I - 47 LP,49.6,541 / 549,Cuz
#85,Top,Salsa,Diamond I - 47 LP,53.0,786 / 698,YungYiga
#86,Mid,Rabbit8,Diamond I - 46 LP,54.6,769 / 639,racingrabbits3
#87,Jungle,QQ Nino,Diamond I - 46 LP,48.3,654 / 700,Futaro
#88,Top,Torendri,Diamond I - 46 LP,52.0,650 / 601,denax
#89,Top,Iron top,Diamond I - 46 LP,51.9,391 / 363,roysiggi 3
#90,ADC,Phill,Diamond I - 44 LP,52.1,474 / 436,clharris123
#91,Top,Toplaner23,Diamond I - 44 LP,50.8,814 / 788,js2614
#92,ADC,Nieuss,Diamond I - 44 LP,55.2,684 / 556,Nieuss
#93,ADC,Karma,Diamond I - 43 LP,55.2,697 / 565,Dark Pact
