Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Rabbit4,Challenger - 285 LP,60.7,447 / 290,willchungtester
#2,Support,HelpingX,Challenger - 276 LP,61.4,510 / 320,Felixxx
#3,Jungle,tarzaned,Challenger - 187 LP,60.9,628 / 403,Tyler1
#4,Top,Scarra,Challenger - 139 LP,63.2,588 / 342,OfflineTV
#5,Jungle,Stupid Jungler,Challenger - 132 LP,62.6,604 / 361,PooPooPeePee
#6,Jungle,AttSeeker,Challenger - 103 LP,59.3,769 / 528,PaxVan
#7,Jungle,Prophet,Challenger - 78 LP,58.2,755 / 543,Four
#8,Jungle,Canyon,Challenger - 71 LP,59.4,613 / 419,YamatoCannon
#9,Support,unicornpetpetuwu,Challenger - 65 LP,59.6,450 / 305,GamerGirls
#10,Jungle,Aela ,Challenger - 62 LP,58.5,608 / 431,MolscarZX
#11,ADC,Lidl Bear,Challenger - 41 LP,53.9,766 / 656,wertyce
#12,Top,SheIsLegal,Challenger - 39 LP,56.0,744 / 584,PaxVan
#13,Support,Rookie,Challenger - 39 LP,56.9,681 / 515,LordArtos
#14,ADC,lumbago,Challenger - 38 LP,52.8,546 / 489,debauchery
#15,Jungle,Nunu V2,Challenger - 38 LP,59.1,838 / 579,willchung1024
#16,Top,DoinB,Challenger - 30 LP,58.1,686 / 494,LordArtos
#17,Mid,garbz,Challenger - 29 LP,53.8,871 / 749,garbz
#18,Mid,Factor,Challenger - 28 LP,56.7,779 / 596,thefactor7
#19,ADC,invention,Challenger - 27 LP,54.1,834 / 708,garbz
#20,Top,KSet,Challenger - 26 LP,55.3,661 / 534,CJackz
#21,Jungle,Papafrita,Challenger - 25 LP,59.5,725 / 494,NismanSlayer
#22,Jungle,ggbebe,Challenger - 24 LP,57.1,1078 / 809,garbz
#23,Support,Eclipsed,Challenger - 22 LP,56.2,813 / 633,cmoney847
#24,Support,DieFliegendeKuh,Challenger - 22 LP,53.8,781 / 671,doofboy13
#25,Jungle,Kaltch,Challenger - 21 LP,60.7,503 / 326,Princess
#26,Jungle,SmelliElli,Challenger - 21 LP,58.1,645 / 465,bigjon
#27,Jungle,TheSecretWeapon,Challenger - 20 LP,56.9,727 / 550,Erknaite
#28,ADC,Rem-chan,Challenger - 18 LP,55.9,628 / 496,Kuurys
#29,Mid,Chovy,Challenger - 18 LP,60.0,825 / 549,TheStriker9
#30,Top,Xenvex,Challenger - 15 LP,49.5,690 / 705,Gawaine
#31,Top,pulsion,Challenger - 15 LP,56.0,879 / 691,garbz
#32,Jungle,a tsm reject,Challenger - 13 LP,52.6,783 / 705,aquietghost
#33,Jungle,Freja,Challenger - 12 LP,58.3,759 / 544,ornstein123
#34,Jungle,Clid 2.0,Challenger - 3 LP,55.5,651 / 522,Coach_Kim
#35,Support,pneu,Challenger - 2 LP,53.9,878 / 751,garbz
#36,Top,Alistar top,Challenger - 2 LP,55.1,736 / 600,roysiggi 2 
#37,Support,Rabbit5,Diamond I - 93 LP,54.0,729 / 621,willchungtester
#38,Top,GwynLordofCinder,Diamond I - 93 LP,52.5,922 / 833,yukioken
#39,Support,Grewpolis,Diamond I - 91 LP,51.5,659 / 621,Dicliffier
#40,ADC,Leysu,Diamond I - 90 LP,51.6,636 / 596,Memersticks
#41,Top,GuppyMilk,Diamond I - 89 LP,57.3,653 / 487,gespenst
