Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Rabbit4,Challenger - 279 LP,60.6,444 / 289,willchungtester
#2,Support,HelpingX,Challenger - 258 LP,61.3,501 / 316,Felixxx
#3,Jungle,tarzaned,Challenger - 240 LP,60.8,598 / 386,Tyler1
#4,Support,Eclipsed,Challenger - 140 LP,56.6,766 / 588,cmoney847
#5,Jungle,Stupid Jungler,Challenger - 136 LP,62.5,561 / 336,PooPooPeePee
#6,Top,Scarra,Challenger - 113 LP,63.1,552 / 323,OfflineTV
#7,Jungle,Aela ,Challenger - 80 LP,58.7,593 / 417,MolscarZX
#8,Jungle,SmelliElli,Challenger - 75 LP,58.6,631 / 446,bigjon
#9,Jungle,Freja,Challenger - 73 LP,58.8,741 / 519,ornstein123
#10,Jungle,Canyon,Challenger - 58 LP,59.4,570 / 390,YamatoCannon
#11,ADC,lumbago,Challenger - 56 LP,52.4,506 / 459,debauchery
#12,Jungle,AttSeeker,Challenger - 56 LP,59.1,737 / 511,PaxVan
#13,Top,DoinB,Challenger - 56 LP,58.2,651 / 468,LordArtos
#14,Jungle,Clid 2.0,Challenger - 44 LP,55.9,628 / 496,Coach_Kim
#15,Top,SheIsLegal,Challenger - 44 LP,56.0,704 / 553,PaxVan
#16,ADC,Leysu,Challenger - 40 LP,51.3,560 / 532,Memersticks
#17,ADC,Rem-chan,Challenger - 39 LP,55.9,589 / 464,Kuurys
#18,Support,Rookie,Challenger - 34 LP,56.5,623 / 479,LordArtos
#19,Top,Alistar top,Challenger - 32 LP,55.3,709 / 573,roysiggi 2 
#20,Jungle,Kaltch,Challenger - 31 LP,60.9,485 / 311,Princess
#21,ADC,snky,Challenger - 28 LP,56.3,632 / 490,haxplague1
#22,Support,Emwues24,Challenger - 26 LP,50.7,582 / 565,Jinxnator
#23,Top,GuppyMilk,Challenger - 20 LP,57.6,623 / 459,gespenst
#24,ADC,fnc jjboce adc,Challenger - 15 LP,52.1,632 / 582,jjboce
#25,Top,HighClassInter,Challenger - 13 LP,52.9,719 / 639,kcheng6996
#26,Jungle,Papafrita,Challenger - 10 LP,59.3,676 / 464,NismanSlayer
#27,Top,cp mccreamy,Challenger - 3 LP,56.6,746 / 573,Meow woeM
#28,Top,pulsion,Challenger - 0 LP,56.1,806 / 631,garbz
#29,Mid,Chovy,Diamond I - 98 LP,60.3,732 / 481,TheStriker9
#30,Jungle,Nunu V2,Diamond I - 95 LP,58.7,794 / 558,willchung1024
#31,Jungle,ggbebe,Diamond I - 93 LP,56.7,992 / 757,garbz
#32,Top,WoodenInternet,Diamond I - 90 LP,54.9,631 / 519,TheShruik2
#33,Jungle,Prophet,Diamond I - 88 LP,57.6,710 / 523,Four
#34,Jungle,110110010011,Diamond I - 88 LP,56.4,721 / 558,110110010011
#35,Support,DedeKong,Diamond I - 87 LP,50.2,663 / 659,PooPooPeePee
#36,Support,DieFliegendeKuh,Diamond I - 87 LP,53.4,743 / 649,doofboy13
#37,Mid,Factor,Diamond I - 87 LP,56.4,731 / 566,thefactor7
#38,Mid,0/10 yasuo,Diamond I - 82 LP,53.9,718 / 614,aquietghost
#39,Support,Princess,Diamond I - 81 LP,60.7,461 / 299,Princess
#40,Top,Fabrizio Frizzi,Diamond I - 81 LP,56.1,713 / 557,CQANQKA
