Champion name,Win rate(%),Wins / losses
Pyke,55.5,41095 / 32982
Nautilus,54.3,36339 / 30619
Thresh,53.1,12359 / 10935
Sivir,53.0,4207 / 3736
Draven,52.6,10620 / 9584
Riven,52.3,7404 / 6751
Heimerdinger,52.0,3313 / 3053
Maokai,51.9,15211 / 14070
Janna,51.9,5927 / 5483
Poppy,51.7,11606 / 10837
Leona,51.6,5941 / 5575
Lissandra,51.6,1035 / 970
Sejuani,51.5,17004 / 16038
Shen,51.3,12728 / 12061
Ezreal,51.2,10496 / 10000
Amumu,51.2,3165 / 3018
Ziggs,51.2,1635 / 1560
Aurelion Sol,51.1,6340 / 6059
Warwick,51.1,4594 / 4397
Quinn,51.0,3881 / 3726
Fiora,51.0,3689 / 3539
Udyr,50.9,2740 / 2646
Vi,50.8,2373 / 2301
Xerath,50.8,919 / 891
Senna,50.7,13293 / 12951
Ryze,50.7,6307 / 6128
Gnar,50.7,1925 / 1873
Qiyana,50.6,8850 / 8629
Ivern,50.5,21815 / 21351
Ekko,50.5,20892 / 20501
Jayce,50.5,2551 / 2499
Xayah,50.4,13435 / 13235
Ornn,50.4,11690 / 11485
LeBlanc,50.4,7657 / 7535
Irelia,50.4,4981 / 4909
Evelynn,50.4,2522 / 2483
Sett,50.3,22975 / 22681
Azir,50.3,2826 / 2794
Yasuo,50.2,9634 / 9543
Wukong,50.2,5043 / 5005
Rammus,50.2,3480 / 3456
Cho'Gath,50.1,16093 / 16021
Viktor,50.1,1733 / 1728
Hecarim,50.1,1713 / 1705
Nunu,50.0,10848 / 10858
Jhin,50.0,4364 / 4363
Rumble,50.0,1285 / 1286
Anivia,50.0,1235 / 1237
Akali,49.9,8167 / 8209
Galio,49.9,7046 / 7070
Kog'Maw,49.9,6578 / 6603
Neeko,49.8,17914 / 18055
Varus,49.8,3908 / 3942
Tryndamere,49.8,1238 / 1249
Ahri,49.7,38736 / 39275
Camille,49.7,8477 / 8591
Pantheon,49.7,8278 / 8389
Vayne,49.7,4981 / 5048
Fizz,49.7,4752 / 4800
Talon,49.6,3658 / 3724
Tahm Kench,49.6,2306 / 2345
Renekton,49.5,25844 / 26391
Aphelios,49.5,17501 / 17847
Volibear,49.5,9477 / 9667
Lucian,49.5,5304 / 5421
Braum,49.5,4192 / 4274
Bard,49.4,20240 / 20713
Karthus,49.4,17731 / 18138
Cassiopeia,49.4,3909 / 4001
Malphite,49.4,3089 / 3166
Syndra,49.3,2484 / 2557
Veigar,49.3,2226 / 2288
Kai'Sa,49.2,9035 / 9327
Mordekaiser,49.2,2886 / 2975
Gangplank,49.2,2659 / 2742
Orianna,49.2,2170 / 2244
Blitzcrank,49.1,10748 / 11156
Kassadin,49.1,7497 / 7777
Caitlyn,49.1,7010 / 7269
Zed,49.1,4204 / 4353
Katarina,49.1,3528 / 3662
Lillia,49.0,5077 / 5279
Yone,48.9,5000 / 5235
Jinx,48.9,4494 / 4696
Rek'Sai,48.9,2652 / 2771
Twitch,48.8,6470 / 6796
Miss Fortune,48.7,4169 / 4392
Kennen,48.7,3270 / 3445
Garen,48.6,6651 / 7046
Rengar,48.6,3122 / 3297
Sion,48.6,2534 / 2675
Nocturne,48.6,1410 / 1492
Skarner,48.6,928 / 981
Zoe,48.5,5128 / 5454
Rakan,48.4,19349 / 20619
Yorick,48.4,823 / 877
Jarvan IV,48.3,8741 / 9368
Kayn,48.3,1587 / 1702
Ashe,48.2,4421 / 4755
Diana,48.2,4352 / 4674
Graves,48.2,2196 / 2364
Tristana,48.2,2181 / 2343
Taric,48.2,1117 / 1201
Karma,48.1,6626 / 7155
Lee Sin,48.1,3384 / 3650
Zac,48.0,3850 / 4179
Yuumi,48.0,3175 / 3443
Singed,48.0,2882 / 3119
Kalista,48.0,2684 / 2905
Kled,48.0,2311 / 2508
Illaoi,48.0,417 / 452
Darius,47.9,4624 / 5035
Alistar,47.9,3562 / 3881
Gragas,47.9,2178 / 2365
Nasus,47.9,1698 / 1844
Zilean,47.8,2254 / 2459
Teemo,47.8,1924 / 2100
Aatrox,47.7,4781 / 5249
Urgot,47.7,2163 / 2369
Corki,47.6,1116 / 1228
Dr. Mundo,47.5,2129 / 2357
Taliyah,47.3,960 / 1071
Nidalee,47.1,2246 / 2520
Swain,47.0,2939 / 3310
Vladimir,46.9,3363 / 3807
Sylas,46.9,2364 / 2677
Morgana,46.8,3584 / 4069
Vel'Koz,46.7,1179 / 1344
Lux,46.4,839 / 970
Nami,46.2,2853 / 3329
Twisted Fate,46.2,727 / 846
Elise,46.0,1915 / 2249
Lulu,45.9,9941 / 11728
Master Yi,45.9,1205 / 1418
Kayle,45.3,834 / 1006
Annie,45.1,1098 / 1337
Malzahar,44.9,662 / 811
Jax,44.6,1972 / 2445
Sona,44.4,1982 / 2483
Trundle,44.4,1599 / 2003
Kha'Zix,44.4,1269 / 1592
Zyra,44.3,798 / 1004
Soraka,43.6,2521 / 3257
Brand,43.1,806 / 1065
Fiddlesticks,42.7,1430 / 1918
Kindred,42.0,558 / 772
Shyvana,41.8,1139 / 1589
Olaf,41.3,1203 / 1709
Shaco,41.2,683 / 974
Xin Zhao,37.3,325 / 547
