Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Xayah,0,0,0,0,0,0,504,319,0,0
Twitch,0,0,0,0,0,0,293,228,0,0
Jinx,0,0,0,0,0,0,84,38,0,0
Maokai,72,53,325,201,0,0,0,0,4,7
Ekko,83,101,35,16,349,243,0,0,0,0
Galio,28,24,0,0,233,127,0,0,15,17
Cho'Gath,136,114,0,0,169,121,2,1,0,0
Ahri,0,0,0,0,162,99,149,134,0,0
Malphite,0,0,0,0,2,0,0,0,0,0
Lulu,162,60,0,0,0,0,0,0,366,282
Sona,16,10,0,0,0,0,0,0,41,48
Rakan,0,0,34,20,0,0,0,0,556,429
Sejuani,0,0,185,163,0,0,0,0,46,47
Morgana,0,0,0,0,0,0,0,0,44,24
Nidalee,0,0,61,38,145,109,0,0,0,0
Nautilus,0,0,333,239,0,0,0,0,182,174
Pyke,0,0,36,18,0,0,0,0,717,638
Nunu,0,0,196,200,0,0,0,0,15,11
Blitzcrank,0,0,0,0,0,0,0,0,60,65
Camille,280,189,0,0,0,0,0,0,0,0
Jayce,121,134,0,0,0,0,0,0,0,0
Renekton,548,432,0,0,18,5,0,0,0,0
Ryze,308,255,0,0,111,91,1,2,0,0
Volibear,123,110,86,96,0,0,0,0,0,0
Pantheon,7,8,0,0,0,0,0,0,0,0
Warwick,0,0,72,89,0,0,0,0,0,0
Zac,0,0,63,63,0,0,0,0,0,0
Ivern,0,0,623,376,0,0,0,0,0,0
Kayn,0,0,60,56,0,0,0,0,0,0
Tryndamere,18,14,52,33,1,2,0,0,0,0
Udyr,0,0,34,22,0,0,0,0,0,0
Sion,0,0,6,7,0,0,0,0,0,0
Senna,2,2,0,0,48,30,216,132,160,108
Olaf,0,0,0,0,0,0,31,32,0,0
Lucian,44,39,0,0,73,51,25,38,0,0
Yasuo,104,77,0,0,159,125,125,91,0,0
Singed,0,0,0,0,0,0,104,153,0,0
Braum,0,0,0,0,0,0,0,1,11,12
Kayle,3,3,0,0,0,0,0,0,0,0
Skarner,0,0,26,31,0,0,0,0,0,0
Aphelios,0,0,0,0,0,0,550,387,0,0
Dr. Mundo,46,43,0,0,0,0,0,1,0,0
Riven,74,72,0,0,37,32,0,0,0,0
Neeko,0,0,0,0,102,93,43,31,15,11
Alistar,0,0,3,7,0,0,0,0,29,32
Ezreal,0,0,0,0,38,42,50,43,0,0
Kai'Sa,0,0,0,0,0,0,5,12,0,0
Vayne,42,39,0,0,0,0,0,2,0,0
Zoe,0,0,0,0,32,22,0,0,46,39
Xerath,0,0,0,0,1,5,0,0,0,0
Leona,0,0,0,0,0,0,0,0,47,54
Zyra,0,0,0,0,0,0,0,0,8,11
Caitlyn,0,0,0,0,0,0,173,140,0,0
Ornn,140,112,5,9,0,0,0,0,20,21
Aatrox,28,24,0,0,0,0,0,0,0,0
Heimerdinger,0,1,0,0,0,0,7,9,0,0
Jarvan IV,0,0,312,159,85,77,0,0,0,0
Kassadin,45,35,0,0,51,53,0,0,0,0
Cassiopeia,0,0,0,0,107,40,12,10,0,0
Akali,79,58,0,0,72,32,0,0,0,0
LeBlanc,0,0,0,0,190,182,0,0,0,0
Yuumi,26,33,0,0,0,0,0,0,82,95
Karma,54,50,0,0,0,0,108,88,126,92
Janna,0,0,0,0,0,0,0,0,113,115
Nami,0,0,0,0,0,0,0,0,95,98
Poppy,30,19,10,8,0,0,0,0,43,16
Kog'Maw,2,2,0,0,0,0,95,47,0,0
Sett,288,261,0,0,0,0,0,0,10,12
Qiyana,46,52,0,0,20,18,0,0,0,0
Varus,21,18,0,0,0,0,3,9,0,0
Miss Fortune,0,0,0,0,0,0,62,59,0,0
Draven,0,0,0,0,0,0,111,71,0,0
