Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,T1 T1,Challenger - 527 LP,64.9,133 / 72,Soraka
#2,ADC,cryhard,Challenger - 299 LP,65.5,340 / 179,roysiggi
#3,Top,RNG Letme,Challenger - 232 LP,62.6,378 / 226,LPLAhri
#4,Jungle,Pyosik,Challenger - 215 LP,58.7,424 / 298,TheStriker9
#5,Mid,Arteros,Challenger - 198 LP,61.8,310 / 192,Anbeeld
#6,Mid,Frimmy23,Challenger - 128 LP,60.9,398 / 255,YoloMedic
#7,Support,Kutcher,Challenger - 107 LP,56.6,316 / 242,Terra
#8,Top,Salsa,Challenger - 84 LP,61.9,289 / 178,YungYiga
#9,Jungle,Jinxnator,Challenger - 71 LP,57.8,406 / 297,Jinxnator
#10,Jungle,EDG Clearlove7,Challenger - 66 LP,57.6,304 / 224,RNGFirefox
#11,Top,Doran,Challenger - 51 LP,51.4,219 / 207,TheStriker9
#12,ADC,BöllerBusch,Challenger - 35 LP,59.7,230 / 155,Jungler1337
#13,Support,Katara,Challenger - 31 LP,55.9,306 / 241,Lior
#14,Mid,Seirilyvia,Challenger - 26 LP,54.1,269 / 228,Kythaela
#15,Top,Zuko,Challenger - 13 LP,57.3,279 / 208,Lior
#16,Mid,Flame,Challenger - 6 LP,53.6,230 / 199,Hit_Critical
#17,Support,Keria,Challenger - 1 LP,52.1,325 / 299,TheStriker9
#18,Support,strawberry cow,Diamond I - 93 LP,55.1,286 / 233,annauwumarie
#19,ADC,Kadlin,Diamond I - 91 LP,57.3,393 / 293,Jinxnator
#20,Mid,PepeCool,Diamond I - 87 LP,54.0,337 / 287,LS
#21,Support,Aqua,Diamond I - 85 LP,57.0,438 / 331,Trindor
#22,Jungle,Ceasarna,Diamond I - 81 LP,54.5,214 / 179,iampvm
#23,ADC,Geekymanxnlx,Diamond I - 80 LP,58.0,421 / 305,DitIsDonny
#24,ADC,AJDG Angel,Diamond I - 72 LP,57.5,256 / 189,Lightandhope
#25,Jungle,Dr4gg4r,Diamond I - 70 LP,54.4,241 / 202,DAYLlGHT
#26,ADC,Texe,Diamond I - 66 LP,54.1,253 / 215,TexeQ
#27,Support,Tratz,Diamond I - 65 LP,55.4,279 / 225,Tangil
#28,Jungle,time,Diamond I - 61 LP,54.2,257 / 217,schlafen
#29,Mid,Phantom,Diamond I - 60 LP,55.5,322 / 258,Kyzent
#30,Jungle,Bilbo Waggins,Diamond I - 60 LP,54.6,220 / 183,ImagineBaggins
#31,Top,Test1,Diamond I - 55 LP,52.5,210 / 190,test
#32,Jungle,Bibi,Diamond I - 54 LP,55.3,242 / 196,Troeton
#33,Top,Ezio,Diamond I - 52 LP,54.1,246 / 209,TexeQ
#34,Top,TopBot,Diamond I - 51 LP,50.6,213 / 208,TangilBOT
#35,Mid,kittyperry,Diamond I - 47 LP,54.2,277 / 234,GamerGirls
#36,Top,Aryze,Diamond I - 43 LP,53.5,259 / 225,sanchesmemo
#37,Top,Rywanna,Diamond I - 38 LP,52.3,250 / 228,Kythaela
#38,Jungle,Blaze,Diamond I - 38 LP,55.7,264 / 210,Hit_Critical
#39,Top,Destructoid,Diamond I - 36 LP,53.9,318 / 272,YoloMedic
#40,Top,DoinB,Diamond I - 36 LP,54.8,365 / 301,LordArtos
#41,Mid,creative mind,Diamond I - 35 LP,52.0,205 / 189,cabula
#42,Support,Lambo Bambo,Diamond I - 34 LP,53.5,305 / 265,Byumbi
#43,Mid,Person201,Diamond I - 34 LP,54.4,259 / 217,LumiFumi
#44,Top,Dumbass,Diamond I - 32 LP,54.4,321 / 269,Key
#45,Mid,WoO0oW,Diamond I - 29 LP,53.4,186 / 162,Mac
#46,Mid,Totoro the duck,Diamond I - 29 LP,55.6,257 / 205,Kuury
#47,Jungle,Test2,Diamond I - 28 LP,51.1,214 / 205,test
#48,Support,SEXY TAHM,Diamond I - 26 LP,49.7,178 / 180,HailOfBladesTahm
