Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,T1 T1,Challenger - 514 LP,64.6,126 / 69,Soraka
#2,Top,RNG Letme,Challenger - 251 LP,62.4,359 / 216,LPLAhri
#3,ADC,cryhard,Challenger - 182 LP,64.5,313 / 172,roysiggi
#4,Top,Salsa,Challenger - 105 LP,62.3,284 / 172,YungYiga
#5,Mid,Arteros,Challenger - 97 LP,60.9,290 / 186,Anbeeld
#6,Jungle,Pyosik,Challenger - 96 LP,58.2,406 / 291,TheStriker9
#7,Support,Katara,Challenger - 89 LP,56.7,298 / 228,Lior
#8,Jungle,Jinxnator,Challenger - 80 LP,57.9,394 / 286,Jinxnator
#9,Mid,Frimmy23,Challenger - 78 LP,60.4,378 / 248,YoloMedic
#10,ADC,BöllerBusch,Challenger - 69 LP,60.4,221 / 145,Jungler1337
#11,Mid,Flame,Challenger - 55 LP,54.3,225 / 189,Hit_Critical
#12,Support,Kutcher,Challenger - 46 LP,56.0,299 / 235,Terra
#13,Top,Zuko,Challenger - 36 LP,57.6,272 / 200,Lior
#14,Jungle,EDG Clearlove7,Challenger - 25 LP,57.2,291 / 218,RNGFirefox
#15,Mid,PepeCool,Challenger - 2 LP,54.0,326 / 278,LS
#16,ADC,Kadlin,Diamond I - 94 LP,57.5,385 / 285,Jinxnator
#17,ADC,Texe,Diamond I - 93 LP,54.4,245 / 205,TexeQ
#18,Mid,Seirilyvia,Diamond I - 92 LP,53.9,258 / 221,Kythaela
#19,ADC,Geekymanxnlx,Diamond I - 78 LP,58.2,410 / 295,DitIsDonny
#20,Mid,Phantom,Diamond I - 78 LP,55.8,309 / 245,Kyzent
#21,Top,Ezio,Diamond I - 75 LP,54.5,242 / 202,TexeQ
#22,ADC,AJDG Angel,Diamond I - 74 LP,57.6,246 / 181,Lightandhope
#23,Jungle,Ceasarna,Diamond I - 71 LP,54.3,204 / 172,iampvm
#24,Support,strawberry cow,Diamond I - 68 LP,54.8,272 / 224,annauwumarie
#25,Mid,WoO0oW,Diamond I - 66 LP,53.9,181 / 155,Mac
#26,Top,Destructoid,Diamond I - 63 LP,54.0,309 / 263,YoloMedic
#27,Mid,kittyperry,Diamond I - 61 LP,54.2,264 / 223,GamerGirls
#28,Jungle,MexicanPidgeon,Diamond I - 59 LP,50.1,171 / 170,LumiFumi
#29,Jungle,Dr4gg4r,Diamond I - 59 LP,54.2,231 / 195,DAYLlGHT
#30,Top,Aryze,Diamond I - 54 LP,53.6,254 / 220,sanchesmemo
#31,Support,Aqua,Diamond I - 54 LP,56.8,426 / 324,Trindor
#32,Jungle,Bilbo Waggins,Diamond I - 52 LP,54.5,211 / 176,ImagineBaggins
#33,Jungle,Bibi,Diamond I - 52 LP,55.2,230 / 187,Troeton
#34,Jungle,time,Diamond I - 52 LP,54.2,250 / 211,schlafen
