Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 1361 LP,70.7,650 / 269,Choi
#2,ADC,Impx,Challenger - 1169 LP,62.7,830 / 493,Choi
#3,Jungle,tarzaned,Challenger - 1110 LP,63.6,411 / 235,Tyler1
#4,Jungle,Aela ,Challenger - 799 LP,57.7,832 / 611,MolscarZX
#5,Jungle,AttSeeker,Challenger - 765 LP,58.9,679 / 474,PaxVan
#6,Support,HelpingX,Challenger - 757 LP,60.1,791 / 526,Felixxx
#7,Mid,Jarl Mid,Challenger - 674 LP,59.8,721 / 485,Jarl
#8,Jungle,sandbox5,Challenger - 629 LP,57.3,681 / 508,
#9,Support,Keria,Challenger - 583 LP,53.7,851 / 733,TheStriker9
#10,Mid,PawNx,Challenger - 580 LP,59.9,753 / 505,Choi
#11,Top,TopBot,Challenger - 578 LP,54.3,1086 / 913,TangilBOT
#12,Mid,Etosh,Challenger - 562 LP,55.7,755 / 601,Etosh
#13,Jungle,Shitfeather,Challenger - 546 LP,58.8,735 / 514,hiroli
#14,Support,SupBot,Challenger - 504 LP,54.6,943 / 784,TangilBOT
#15,Top,Salsa,Challenger - 499 LP,52.5,1209 / 1094,YungYiga
#16,Jungle,Wakes,Challenger - 490 LP,57.8,1151 / 840,alim
#17,Support,unicornpetpetuwu,Challenger - 485 LP,54.2,899 / 759,GamerGirls
#18,Jungle,Stupid Jungler,Challenger - 467 LP,60.2,735 / 485,PooPooPeePee
#19,Jungle,junglekek,Challenger - 460 LP,54.0,699 / 596,redeemer
#20,Mid,Chovy,Challenger - 451 LP,55.7,800 / 637,TheStriker9
#21,Jungle,Kaltch,Challenger - 442 LP,56.1,687 / 537,Princess
#22,Support,Rookie,Challenger - 441 LP,54.7,745 / 617,LordArtos
#23,ADC,NewMeta,Challenger - 431 LP,53.6,1259 / 1090,moxir
#24,Mid,Choky,Challenger - 431 LP,54.3,847 / 713,Key
#25,Jungle,Canyon,Challenger - 430 LP,58.4,807 / 575,YamatoCannon
#26,Top,Human Tornado,Challenger - 418 LP,52.0,775 / 715,Etosh
#27,Mid,LeSnek,Challenger - 416 LP,52.9,786 / 699,LS
#28,Mid,Mephisto,Challenger - 404 LP,55.4,804 / 647,Zettohail
#29,Top,Dumbass,Challenger - 403 LP,52.8,1007 / 900,Key
#30,Top,Ooga,Challenger - 391 LP,55.6,833 / 664,Poggersnation
#31,Jungle,Prime Bengi,Challenger - 391 LP,61.0,550 / 351,LDK
#32,ADC,Teal,Challenger - 382 LP,53.1,805 / 711,cmoney847
#33,Support,supkek,Challenger - 381 LP,51.4,910 / 860,redeemer
#34,ADC,Ree-ason,Challenger - 374 LP,52.3,1005 / 918,hmphree
#35,Jungle,Freja,Challenger - 373 LP,55.9,636 / 501,ornstein123
#36,Jungle,SmelliElli,Challenger - 360 LP,59.2,576 / 397,bigjon
#37,ADC,SasukeyLove,Challenger - 344 LP,53.5,908 / 788,kcheng6996
#38,Mid,The_Ghost16,Challenger - 340 LP,54.6,611 / 508,Sb1
#39,Jungle,Shard,Challenger - 339 LP,52.8,937 / 836,Memersticks
#40,Top,Ayu,Challenger - 337 LP,52.2,811 / 742,Bitesized
#41,Top,Doesnt,Challenger - 332 LP,52.1,788 / 724,Princess
#42,ADC,Cryhard II,Challenger - 323 LP,54.8,678 / 560,roysiggi
#43,Support,Emwues24,Challenger - 318 LP,55.4,582 / 469,Jinxnator
#44,Support,Wilde,Challenger - 317 LP,53.4,963 / 842,Wealth_and_Taste
#45,Mid,sandbox10,Challenger - 315 LP,53.4,769 / 671,
#46,Mid,SrqUe,Challenger - 311 LP,52.5,1028 / 929,moxir
#47,Support,Princess,Challenger - 310 LP,53.0,760 / 675,Princess
#48,Support,Dibbs,Challenger - 310 LP,53.2,683 / 601,MaverickG
#49,Support,DieFliegendeKuh,Challenger - 307 LP,55.0,731 / 598,doofboy13
#50,Top,Heimerdonger,Challenger - 306 LP,55.4,763 / 614,TimoMacDonut
#51,Jungle,QQ Nino,Grandmaster - 303 LP,52.6,774 / 697,Futaro
#52,ADC,Puki style23,Grandmaster - 300 LP,54.5,609 / 508,Klorellv4
#53,Support,JoseJose,Grandmaster - 298 LP,52.5,831 / 752,tytn
#54,Top,Craq,Grandmaster - 296 LP,54.0,2317 / 1975,moxir
#55,ADC,Pokimane,Grandmaster - 296 LP,52.7,939 / 844,Simp
#56,Support,xplayz4dayz,Grandmaster - 295 LP,57.8,502 / 367,froggen
#57,Jungle,DoperThanDopa,Grandmaster - 294 LP,55.3,799 / 646,yukioken
#58,Support,Fekker,Grandmaster - 285 LP,54.4,797 / 669,Key
#59,Support,LordPingRoll,Grandmaster - 284 LP,53.9,810 / 694,yukioken
#60,ADC,DoubleDouble,Grandmaster - 281 LP,52.3,989 / 901,Player2225
#61,Jungle,Senbonzakura,Grandmaster - 277 LP,54.5,537 / 448,PacoPeco
