Champion name,Win rate(%),Wins / losses
Malphite,57.2,1417 / 1060
Illaoi,56.9,886 / 670
Garen,55.3,94 / 76
Brand,54.9,591 / 486
Karma,54.8,9445 / 7787
Zac,53.8,3906 / 3355
Malzahar,53.5,506 / 439
Pyke,53.4,5190 / 4536
Skarner,53.1,2257 / 1991
Karthus,52.9,7815 / 6965
Nunu,52.9,960 / 855
Udyr,52.7,4934 / 4420
Shen,52.7,2203 / 1978
Galio,52.4,2417 / 2192
Aphelios,52.3,4102 / 3740
Volibear,52.3,1160 / 1060
Warwick,52.2,1025 / 939
Rakan,52.1,6412 / 5906
Poppy,52.1,598 / 550
Zyra,51.7,260 / 243
Ashe,51.5,1748 / 1647
Sejuani,51.5,716 / 673
Alistar,51.3,938 / 891
Sona,51.2,3742 / 3565
Rammus,51.2,278 / 265
Hecarim,51.1,910 / 871
Senna,51.0,6324 / 6069
Graves,50.9,2652 / 2557
Lee Sin,50.8,1340 / 1296
Orianna,50.8,894 / 867
Nidalee,50.8,627 / 607
Dr. Mundo,50.7,889 / 863
Syndra,50.7,606 / 589
Irelia,50.6,3923 / 3824
Yasuo,50.6,3001 / 2933
Blitzcrank,50.5,1034 / 1012
Trundle,50.5,434 / 426
Ornn,50.3,1656 / 1639
Rek'Sai,50.3,640 / 632
Vi,50.1,176 / 175
Nautilus,50.0,1192 / 1190
Nasus,50.0,583 / 583
Thresh,49.9,1116 / 1120
Caitlyn,49.9,1015 / 1019
Corki,49.9,178 / 179
Ivern,49.8,1148 / 1155
Gragas,49.8,276 / 278
Rumble,49.8,230 / 232
Xayah,49.7,2490 / 2524
Bard,49.7,1732 / 1751
Yorick,49.7,308 / 312
Nocturne,49.6,906 / 919
Ryze,49.3,800 / 824
Aurelion Sol,49.2,521 / 537
Urgot,49.2,295 / 304
Singed,49.1,1579 / 1635
Kayle,49.0,275 / 286
Tryndamere,48.9,1443 / 1508
Gnar,48.9,415 / 433
Janna,48.8,1051 / 1103
Jinx,48.8,523 / 548
Ahri,48.7,1157 / 1221
Leona,48.7,618 / 650
Sion,48.7,529 / 558
Fiddlesticks,48.6,621 / 656
Renekton,48.4,228 / 243
Master Yi,48.3,1082 / 1156
Draven,48.3,854 / 915
Ziggs,48.2,199 / 214
Mordekaiser,48.1,571 / 617
Tristana,47.9,401 / 436
Vel'Koz,47.9,274 / 298
Camille,47.8,1424 / 1555
Zilean,47.8,539 / 589
Wukong,47.7,586 / 643
Braum,47.6,987 / 1085
Kai'Sa,47.5,644 / 713
Kassadin,47.5,449 / 496
Pantheon,47.4,694 / 769
Jarvan IV,47.3,415 / 463
Ekko,47.3,349 / 389
Maokai,47.2,369 / 413
Amumu,47.2,230 / 257
Miss Fortune,47.1,1007 / 1133
Katarina,47.0,276 / 311
Riven,46.8,879 / 1001
Elise,46.6,250 / 286
Varus,46.5,654 / 751
Lucian,46.5,471 / 541
Evelynn,46.4,485 / 560
Lux,46.4,143 / 165
Kog'Maw,46.3,337 / 391
Teemo,46.3,262 / 304
Nami,46.2,456 / 532
Fizz,46.2,172 / 200
Sett,46.0,888 / 1043
Kindred,46.0,296 / 348
Tahm Kench,46.0,285 / 335
Rengar,46.0,74 / 87
Sylas,45.8,610 / 723
Neeko,45.7,161 / 191
Anivia,45.6,519 / 618
Swain,45.6,252 / 301
Diana,45.5,120 / 144
LeBlanc,45.4,322 / 387
Vladimir,45.4,262 / 315
Kalista,45.4,84 / 101
Kennen,45.3,632 / 762
Aatrox,45.2,742 / 901
Jhin,45.2,270 / 327
Kha'Zix,45.0,547 / 668
Zoe,45.0,429 / 525
Olaf,44.9,398 / 488
Ezreal,44.8,1237 / 1527
Yuumi,44.7,1071 / 1326
Jayce,44.7,294 / 363
Heimerdinger,44.7,243 / 301
Jax,44.6,145 / 180
Shaco,44.3,254 / 320
Shyvana,44.3,78 / 98
Cassiopeia,44.2,395 / 499
Kled,44.0,182 / 232
Cho'Gath,43.7,203 / 262
Lulu,43.5,231 / 300
Sivir,43.4,227 / 296
Gangplank,43.3,413 / 540
Xerath,43.2,1176 / 1549
Twitch,43.0,295 / 391
Soraka,43.0,133 / 176
Zed,42.7,311 / 418
Xin Zhao,42.6,161 / 217
Darius,42.5,360 / 487
Viktor,42.5,105 / 142
Veigar,42.2,468 / 640
Annie,42.1,203 / 279
Vayne,42.0,658 / 909
Akali,41.9,691 / 959
Azir,41.9,368 / 510
Qiyana,41.9,147 / 204
Morgana,41.9,130 / 180
Fiora,41.7,464 / 650
Talon,41.6,308 / 433
Quinn,41.6,221 / 310
Twisted Fate,39.8,205 / 310
Lissandra,36.6,68 / 118
Taliyah,35.5,75 / 136
Taric,33.4,685 / 1364
