Champion name,Win rate(%),Wins / losses
Morgana,59.5,66 / 45
Yorick,59.1,39 / 27
Xerath,57.0,441 / 333
Lissandra,56.3,36 / 28
Lee Sin,55.7,393 / 312
Nunu,55.6,421 / 336
Malphite,55.4,1583 / 1275
Ekko,55.3,172 / 139
Volibear,54.4,277 / 232
Skarner,54.0,824 / 702
Sivir,54.0,61 / 52
Nidalee,53.9,502 / 429
Corki,53.6,30 / 26
Jayce,53.4,71 / 62
Zac,53.0,1415 / 1254
Pyke,52.9,1769 / 1574
Miss Fortune,52.8,412 / 369
Shen,52.7,889 / 798
Hecarim,52.7,289 / 259
Rakan,52.5,1572 / 1425
Senna,52.5,1524 / 1378
Aphelios,52.4,1347 / 1225
Illaoi,52.4,546 / 495
Urgot,52.4,261 / 237
Nami,52.4,100 / 91
Riven,52.3,324 / 296
Jarvan IV,52.2,109 / 100
Talon,52.2,59 / 54
Warwick,52.1,202 / 186
Poppy,52.0,236 / 218
Sona,51.9,709 / 658
Galio,51.8,1515 / 1409
Brand,51.5,265 / 250
Heimerdinger,51.5,52 / 49
Rek'Sai,51.4,217 / 205
Vel'Koz,51.3,61 / 58
Sion,51.1,209 / 200
Karthus,51.0,1797 / 1727
Kassadin,50.9,140 / 135
Rammus,50.9,83 / 80
Rumble,50.8,95 / 92
Udyr,50.7,1238 / 1204
Aurelion Sol,50.7,71 / 69
Amumu,50.6,134 / 131
Nautilus,50.5,469 / 460
Irelia,50.4,1008 / 991
Quinn,50.4,58 / 57
Malzahar,50.3,191 / 189
Pantheon,50.3,181 / 179
Blitzcrank,50.2,316 / 313
Jhin,50.2,112 / 111
Karma,50.1,1540 / 1536
Orianna,50.0,344 / 344
Vi,50.0,46 / 46
Ahri,49.7,285 / 288
Leona,49.6,185 / 188
Ornn,49.5,451 / 461
Aatrox,49.5,162 / 165
Ashe,49.4,461 / 473
Viktor,49.4,81 / 83
Twisted Fate,49.2,62 / 64
Caitlyn,49.0,472 / 492
Ryze,49.0,258 / 269
Syndra,49.0,142 / 148
Dr. Mundo,48.9,240 / 251
Zilean,48.9,193 / 202
Maokai,48.8,120 / 126
Trundle,48.7,167 / 176
Rengar,48.7,111 / 117
Swain,48.6,53 / 56
Xayah,48.3,614 / 658
Garen,48.3,42 / 45
Darius,48.2,110 / 118
Graves,48.1,686 / 739
Bard,48.1,370 / 399
Renekton,48.1,78 / 84
Janna,48.0,313 / 339
Vladimir,48.0,61 / 66
Tryndamere,47.9,359 / 391
Alistar,47.9,204 / 222
Fiddlesticks,47.9,192 / 209
Cho'Gath,47.9,35 / 38
Ezreal,47.8,264 / 288
Evelynn,47.7,183 / 201
Sylas,47.7,156 / 171
Gragas,47.7,31 / 34
Sejuani,47.4,365 / 405
Veigar,47.3,226 / 252
Mordekaiser,47.3,150 / 167
Thresh,47.2,393 / 439
Elise,47.2,34 / 38
Zed,47.1,105 / 118
Anivia,47.0,86 / 97
Ivern,46.8,309 / 351
Braum,46.7,266 / 303
Sett,46.6,269 / 308
Wukong,46.6,132 / 151
Qiyana,46.4,39 / 45
Yasuo,46.2,602 / 702
Yuumi,46.0,384 / 451
Singed,46.0,357 / 419
Taric,45.9,239 / 282
Akali,45.9,163 / 192
Kai'Sa,45.9,122 / 144
Ziggs,45.9,34 / 40
Nasus,45.7,170 / 202
Varus,45.6,183 / 218
Kayle,45.6,26 / 31
Draven,45.5,173 / 207
Fiora,45.4,182 / 219
Shyvana,45.0,45 / 55
Lux,45.0,45 / 55
Jinx,44.9,182 / 223
Kennen,44.7,106 / 131
Lulu,44.6,74 / 92
Kalista,44.6,66 / 82
LeBlanc,44.4,79 / 99
Neeko,44.3,98 / 123
Cassiopeia,44.3,62 / 78
Zyra,44.2,57 / 72
Vayne,44.1,239 / 303
Gnar,44.1,100 / 127
Teemo,44.1,75 / 95
Katarina,44.1,64 / 81
Kled,44.0,51 / 65
Kog'Maw,43.9,43 / 55
Gangplank,43.8,84 / 108
Kha'Zix,43.5,128 / 166
Camille,43.4,297 / 388
Azir,43.4,169 / 220
Zoe,43.4,163 / 213
Jax,43.2,41 / 54
Shaco,43.0,55 / 73
Fizz,42.9,30 / 40
Tristana,42.6,107 / 144
Annie,42.0,87 / 120
Kindred,41.8,56 / 78
Master Yi,41.6,221 / 310
Nocturne,40.6,129 / 189
Olaf,40.6,102 / 149
Twitch,40.3,71 / 105
Diana,39.0,39 / 61
Xin Zhao,36.1,22 / 39
Lucian,35.6,89 / 161
Taliyah,34.5,10 / 19
Soraka,33.0,64 / 130
Tahm Kench,29.7,19 / 45
