Champion name,Win rate(%),Wins / losses
Pyke,54.9,69516 / 57211
Nautilus,54.0,61793 / 52704
Thresh,52.6,21461 / 19377
Draven,52.5,18062 / 16321
Sivir,52.2,7482 / 6846
Riven,51.9,12639 / 11702
Maokai,51.8,25155 / 23394
Janna,51.8,9418 / 8767
Amumu,51.5,4958 / 4672
Quinn,51.4,6110 / 5788
Sejuani,51.2,27226 / 25995
Shen,51.2,19456 / 18571
Leona,51.2,9314 / 8877
Senna,51.1,22140 / 21225
Poppy,51.1,17788 / 17009
Ezreal,51.1,16707 / 15961
Lissandra,51.1,1837 / 1757
Heimerdinger,51.0,5816 / 5595
Aurelion Sol,50.9,9824 / 9474
Udyr,50.8,3890 / 3774
Vi,50.8,3469 / 3359
Ziggs,50.8,2644 / 2559
Tryndamere,50.8,2390 / 2319
Ryze,50.7,9693 / 9441
Warwick,50.7,7210 / 7023
Fiora,50.6,5379 / 5241
Viktor,50.6,2871 / 2808
Ivern,50.5,33778 / 33119
Sett,50.4,34276 / 33745
Xayah,50.4,20525 / 20235
Yasuo,50.4,15411 / 15183
Ekko,50.3,31466 / 31079
Ornn,50.3,17827 / 17584
LeBlanc,50.3,11878 / 11735
Qiyana,50.2,13205 / 13079
Evelynn,50.2,4186 / 4158
Cho'Gath,50.1,24033 / 23927
Kog'Maw,50.1,10759 / 10698
Wukong,50.1,7260 / 7236
Fizz,50.1,7072 / 7030
Anivia,50.1,1770 / 1766
Neeko,50.0,25625 / 25633
Akali,50.0,12377 / 12401
Irelia,50.0,6962 / 6970
Galio,49.9,11303 / 11371
Lucian,49.9,8694 / 8723
Jhin,49.9,6256 / 6288
Talon,49.9,5604 / 5635
Azir,49.9,4092 / 4111
Jayce,49.9,3903 / 3920
Ahri,49.8,57894 / 58410
Nunu,49.7,17419 / 17626
Braum,49.7,5901 / 5978
Xerath,49.7,1704 / 1725
Renekton,49.6,39214 / 39914
Aphelios,49.6,25771 / 26164
Camille,49.6,13376 / 13593
Pantheon,49.6,11724 / 11907
Rumble,49.6,2048 / 2080
Karthus,49.5,27765 / 28311
Yone,49.5,8475 / 8638
Miss Fortune,49.5,6054 / 6183
Yuumi,49.5,5659 / 5763
Rammus,49.5,5169 / 5279
Vayne,49.4,8803 / 9007
Syndra,49.4,3545 / 3634
Katarina,49.3,5417 / 5578
Varus,49.3,5357 / 5514
Gnar,49.3,2918 / 3004
Bard,49.2,30852 / 31818
Zed,49.2,6361 / 6565
Cassiopeia,49.2,5986 / 6184
Malphite,49.2,4504 / 4649
Mordekaiser,49.2,4355 / 4503
Gangplank,49.2,4219 / 4356
Volibear,49.1,13804 / 14284
Kassadin,49.1,11254 / 11644
Caitlyn,49.1,10396 / 10786
Hecarim,49.1,2707 / 2810
Garen,48.9,9760 / 10200
Jinx,48.9,7240 / 7563
Orianna,48.9,3247 / 3398
Kai'Sa,48.8,13795 / 14450
Lillia,48.8,7520 / 7875
Rek'Sai,48.8,4069 / 4271
Tahm Kench,48.8,3153 / 3312
Illaoi,48.8,574 / 603
Kennen,48.7,4866 / 5135
Twitch,48.6,9642 / 10183
Rengar,48.6,5468 / 5781
Veigar,48.6,3389 / 3582
Blitzcrank,48.5,15743 / 16734
Karma,48.4,10097 / 10785
Ashe,48.4,7147 / 7630
Lee Sin,48.4,4868 / 5185
Sion,48.4,3664 / 3908
Kayn,48.4,2390 / 2543
Rakan,48.3,28237 / 30218
Jarvan IV,48.3,12337 / 13183
Alistar,48.3,5820 / 6219
Taliyah,48.3,1316 / 1408
Zoe,48.2,7338 / 7871
Singed,48.2,4585 / 4918
Diana,48.1,6650 / 7170
Skarner,48.1,1380 / 1491
Tristana,48.0,3268 / 3546
Dr. Mundo,48.0,3147 / 3406
Graves,48.0,3084 / 3346
Kalista,47.9,3782 / 4115
Darius,47.8,7134 / 7789
Aatrox,47.8,6974 / 7629
Gragas,47.8,3083 / 3366
Nocturne,47.8,1916 / 2092
Yorick,47.8,1110 / 1214
Teemo,47.7,3011 / 3296
Nasus,47.7,2677 / 2940
Taric,47.7,1504 / 1648
Zilean,47.6,3179 / 3494
Urgot,47.6,2908 / 3204
Corki,47.4,1605 / 1778
Sylas,47.3,3519 / 3926
Vel'Koz,47.3,1689 / 1885
Vladimir,47.2,4870 / 5444
Kled,47.2,3199 / 3581
Twisted Fate,47.2,1101 / 1233
Zac,47.1,6007 / 6755
Nidalee,46.8,3395 / 3855
Swain,46.7,4057 / 4631
Lux,46.6,1162 / 1329
Morgana,46.4,5196 / 5995
Lulu,46.3,14629 / 16940
Nami,46.0,3777 / 4432
Elise,45.9,2760 / 3248
Jax,45.6,3154 / 3768
Zyra,45.6,1287 / 1534
Malzahar,45.6,961 / 1147
Annie,45.5,1538 / 1841
Kayle,45.5,1334 / 1598
Master Yi,45.3,1601 / 1936
Sona,44.3,2737 / 3446
Kha'Zix,44.2,2054 / 2597
Trundle,44.1,2157 / 2736
Kindred,43.8,943 / 1212
Soraka,43.4,3175 / 4133
Brand,43.1,1178 / 1553
Fiddlesticks,42.5,1921 / 2595
Shyvana,42.0,1746 / 2416
Shaco,41.3,999 / 1419
Olaf,40.6,1550 / 2264
Xin Zhao,37.1,441 / 749
