Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Xayah,0,0,0,0,0,0,2737,2344,0,0
Twitch,0,0,5,10,0,0,1285,1113,0,0
Jinx,0,0,0,0,0,0,1491,1441,0,0
Kog'Maw,0,0,0,0,0,0,650,524,0,0
Kalista,0,0,0,0,0,0,205,210,0,0
Ezreal,0,0,0,0,129,100,180,158,0,0
Caitlyn,0,0,0,0,0,0,352,311,0,0
Senna,127,69,0,0,436,249,2091,1563,1427,1138
Aphelios,0,0,0,0,0,0,5259,4132,0,0
Varus,32,31,0,0,0,0,6,9,8,14
Jarvan IV,120,94,3329,2511,1820,1463,0,0,29,18
Nunu,0,0,501,571,0,0,0,0,76,81
Vi,0,0,171,163,0,0,0,0,0,0
Lulu,841,503,0,0,17,21,0,0,1991,1709
Sona,658,390,0,0,0,0,7,8,26,20
Aurelion Sol,0,0,0,0,640,453,0,0,0,0
Qiyana,182,188,0,0,425,319,0,0,0,0
Nidalee,0,0,100,81,297,209,0,0,0,0
Ahri,107,65,0,0,1762,1517,645,465,0,0
Zoe,0,0,0,0,6,6,0,0,0,0
Xerath,0,0,0,0,1,5,3,1,0,0
Rakan,0,0,212,191,0,0,0,0,4172,3547
Pyke,0,0,211,142,72,47,0,0,3860,3371
Poppy,287,264,275,272,0,0,0,0,154,136
Sejuani,48,50,2221,1916,0,0,0,0,171,207
Morgana,0,0,0,0,0,0,0,0,188,147
Thresh,0,0,0,0,0,0,0,0,344,321
Singed,0,1,0,0,0,0,104,153,0,0
Kai'Sa,0,0,0,0,4,5,367,300,0,0
Galio,0,0,0,0,757,488,0,0,0,1
Lillia,174,129,477,512,983,825,184,176,0,0
Cho'Gath,1264,1002,0,0,904,725,364,256,0,0
Sett,1324,1158,149,141,8,9,0,0,329,238
Camille,1888,1675,0,0,0,0,0,0,0,0
Jayce,48,63,0,0,59,59,0,0,0,0
Renekton,1801,1552,382,466,0,0,0,0,0,0
Lucian,101,82,0,0,404,352,442,448,0,0
Ryze,610,489,0,0,938,758,0,0,0,0
Volibear,596,539,1116,1099,0,0,0,0,0,0
Udyr,0,0,168,201,0,0,0,0,0,0
Tryndamere,136,120,120,87,269,283,0,0,0,0
Warwick,0,0,263,353,0,0,0,0,0,0
Ivern,0,0,4728,3535,0,0,0,0,0,0
Nautilus,0,0,3242,2638,0,0,0,0,928,755
