Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Ivern,0,0,758,629,0,0,0,0,0,0
Maokai,5,5,1736,1426,0,0,49,51,4,7
Nunu,0,0,2989,2594,39,42,0,0,250,236
Pyke,0,0,34,36,162,133,0,0,5395,4254
Blitzcrank,0,0,0,0,0,0,0,0,92,82
Braum,0,0,0,0,0,0,0,0,36,42
Rakan,8,10,166,160,0,0,0,0,919,887
Renekton,2914,2582,0,0,536,480,413,382,3,1
Warwick,0,0,1120,957,0,0,0,0,0,0
Zac,0,0,619,514,0,0,0,0,0,0
Volibear,67,63,587,539,0,0,0,0,0,0
Udyr,0,0,392,339,0,0,0,0,0,0
Nautilus,0,0,975,732,0,0,0,0,293,254
Kassadin,18,20,0,0,980,896,14,25,0,0
Neeko,0,0,0,0,181,113,357,339,26,40
Karthus,267,212,0,0,2539,1994,2237,1925,0,0
Akali,0,0,0,0,142,174,0,0,0,0
Karma,201,178,0,0,136,136,0,0,141,146
Cho'Gath,20,22,0,0,293,246,87,67,0,0
Syndra,0,0,0,0,90,69,0,0,0,0
Yuumi,2,3,0,0,6,10,0,0,247,236
Kayn,0,0,132,149,7,4,0,0,0,0
Lulu,0,0,0,0,3,6,0,0,275,266
Morgana,0,0,0,0,0,0,0,0,429,365
Sejuani,0,0,358,332,0,0,0,0,609,622
Sett,767,694,69,71,53,45,4,7,225,214
Thresh,0,0,0,0,0,0,0,0,286,258
Soraka,0,0,0,0,0,0,0,0,34,28
Ryze,874,742,0,0,287,290,0,1,0,0
Kayle,21,21,0,0,30,50,0,0,0,0
Rengar,0,0,154,127,91,74,0,0,0,0
Olaf,0,0,2,6,0,0,78,59,0,0
Ahri,0,0,0,0,681,643,833,731,0,0
Caitlyn,0,0,0,0,0,0,185,164,0,0
Ezreal,0,0,0,0,173,186,196,183,0,0
Miss Fortune,0,0,0,0,0,0,129,124,0,0
Gangplank,163,157,0,0,187,156,0,0,0,0
Shyvana,0,0,0,0,48,36,0,0,122,124
Diana,0,0,0,0,90,89,0,0,0,0
Illaoi,0,0,0,0,2,10,0,0,0,0
Vladimir,144,136,0,0,16,12,0,0,0,0
Singed,0,0,0,0,0,1,832,720,0,0
Draven,0,0,0,0,0,0,277,227,0,0
Alistar,18,26,93,57,0,0,0,0,55,60
Leona,0,0,171,176,0,0,0,0,530,579
Poppy,297,264,169,149,0,0,0,0,305,262
Xerath,0,0,0,0,13,22,0,0,0,0
Kai'Sa,0,0,0,0,21,18,861,856,0,0
Aphelios,0,0,0,0,0,0,205,215,0,0
Xayah,0,0,0,0,0,0,1443,1408,0,0
Urgot,0,0,0,0,0,0,14,15,0,0
Ekko,359,360,431,378,1456,1344,97,98,6,7
Skarner,0,0,47,60,0,0,28,27,0,0
Bard,0,0,0,0,0,0,8,9,810,824
Camille,543,536,0,0,0,0,0,0,0,0
Malphite,197,206,0,0,0,0,0,0,0,0
Jayce,1714,1510,0,0,0,0,0,0,0,0
Sylas,5,18,0,0,70,60,0,0,0,0
Gnar,5,4,0,0,0,0,489,484,0,0
Aatrox,8,14,0,0,0,1,0,0,0,0
Zoe,0,0,0,0,517,515,1,3,67,77
Taliyah,0,0,0,0,0,0,0,0,14,13
Rumble,0,0,0,0,141,108,0,0,5,6
