Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 2832 LP,70.7,982 / 407,Choi
#2,Jungle,Aela ,Challenger - 1541 LP,57.7,1225 / 897,MolscarZX
#3,ADC,Impx,Challenger - 1395 LP,60.6,1517 / 986,Choi
#4,Jungle,tarzaned,Challenger - 997 LP,59.2,510 / 351,Tyler1
#5,Support,HelpingX,Challenger - 909 LP,58.4,1306 / 931,Felixxx
#6,Top,Heimerdonger,Challenger - 907 LP,56.2,1914 / 1491,TimoMacDonut
#7,Mid,Jarl Mid,Challenger - 898 LP,59.1,1326 / 919,Jarl
#8,Mid,Etosh,Challenger - 774 LP,54.5,1523 / 1272,Etosh
#9,Jungle,AttSeeker,Challenger - 749 LP,56.5,959 / 738,PaxVan
#10,Support,Fekker,Challenger - 699 LP,54.9,1608 / 1322,Key
#11,ADC,Cryhard II,Challenger - 665 LP,53.8,1670 / 1435,roysiggi
#12,Jungle,sandbox5,Challenger - 655 LP,55.9,1079 / 852,
#13,Jungle,Canyon,Challenger - 652 LP,58.2,1448 / 1042,YamatoCannon
#14,Jungle,Stupid Jungler,Challenger - 647 LP,59.4,1184 / 810,PooPooPeePee
#15,Mid,PawNx,Challenger - 624 LP,54.4,1596 / 1340,Choi
#16,Jungle,Wakes,Challenger - 605 LP,57.4,1557 / 1157,alim
#17,Jungle,Sanga,Challenger - 598 LP,54.6,2124 / 1766,EMFyels
#18,Top,Diablo,Challenger - 593 LP,53.5,1817 / 1581,Kyzent
#19,Support,unicornpetpetuwu,Challenger - 589 LP,53.6,1534 / 1327,GamerGirls
#20,Jungle,Shitfeather,Challenger - 584 LP,56.9,1235 / 936,hiroli
#21,Mid,Choky,Challenger - 581 LP,54.2,1591 / 1343,Key
#22,Mid,midkek,Challenger - 577 LP,52.5,1690 / 1527,redeemer
#23,Top,Bijou,Challenger - 552 LP,51.6,1784 / 1676,EMFyels
#24,Jungle,Nunu V2,Challenger - 549 LP,56.3,1130 / 878,willchung1024
#25,Mid,Chovy,Challenger - 530 LP,54.9,1393 / 1146,TheStriker9
#26,Jungle,QQ Nino,Challenger - 522 LP,54.1,1363 / 1156,Futaro
#27,Jungle,Umbral,Challenger - 521 LP,54.6,1312 / 1090,Indoraps
#28,Jungle,Prime Bengi,Challenger - 519 LP,59.3,1043 / 715,LDK
#29,Support,xplayz4dayz,Challenger - 512 LP,56.6,1124 / 861,froggen
#30,Support,Aeryn,Challenger - 508 LP,53.9,1453 / 1241,WildChoas
#31,ADC,botkek,Challenger - 503 LP,53.0,2038 / 1805,redeemer
#32,Mid,EMFyels,Challenger - 496 LP,53.6,1909 / 1655,EMFyels
#33,Mid,The_Ghost16,Challenger - 489 LP,53.9,1206 / 1031,Sb1
#34,ADC,NewMeta,Challenger - 486 LP,52.9,2112 / 1881,moxir
#35,Jungle,Iris,Challenger - 485 LP,54.3,1557 / 1309,WildChoas
#36,ADC,sandbox15,Challenger - 457 LP,53.5,1551 / 1349,
#37,Top,Alistar top,Challenger - 452 LP,54.8,1176 / 969,roysiggi 2 
#38,Support,SupBot,Challenger - 451 LP,53.1,1485 / 1310,TangilBOT
#39,ADC,Puki style23,Challenger - 448 LP,53.0,1325 / 1175,Klorellv4
#40,Support,Dibbs,Challenger - 433 LP,53.7,1261 / 1086,MaverickG
#41,Top,Finch,Challenger - 431 LP,52.1,1189 / 1093,LumiFumi
#42,Support,Keria,Challenger - 430 LP,52.2,1398 / 1280,TheStriker9
#43,Support,Kaflax,Challenger - 428 LP,54.2,1297 / 1097,Kawax
#44,Top,Salsa,Challenger - 424 LP,51.9,2359 / 2187,YungYiga
#45,Top,sandbox0,Challenger - 423 LP,53.6,1344 / 1162,
#46,ADC,Ree-ason,Challenger - 419 LP,51.8,1759 / 1636,hmphree
#47,Support,ReaganHau,Challenger - 419 LP,52.0,1096 / 1013,reaganhau
#48,Support,DieFliegendeKuh,Challenger - 417 LP,53.9,1476 / 1262,doofboy13
#49,Top,Craq,Challenger - 416 LP,53.8,3408 / 2928,moxir
#50,Mid,Prime Faker,Challenger - 407 LP,54.8,1073 / 885,LDK
#51,Jungle,Kaltch,Grandmaster - 406 LP,54.9,1588 / 1306,Princess
#52,ADC,-200 years,Grandmaster - 405 LP,53.5,1303 / 1132,aquietghost
#53,Jungle,02020202020202,Grandmaster - 403 LP,51.3,1467 / 1395,sanchesmemo
#54,Mid,Tupac,Grandmaster - 400 LP,54.3,1155 / 974,Pranceof
#55,ADC,Rabbit4,Grandmaster - 399 LP,54.8,1171 / 967,willchungtester
#56,ADC,Carrot,Grandmaster - 393 LP,52.3,1179 / 1076,Haram
#57,Top,Fantasy,Grandmaster - 390 LP,52.8,1314 / 1174,WildChoas
#58,Support,Princess,Grandmaster - 389 LP,53.0,1848 / 1642,Princess
#59,Mid,LeSnek,Grandmaster - 388 LP,52.2,1291 / 1181,LS
#60,Mid,Mephisto,Grandmaster - 384 LP,53.1,1488 / 1314,Zettohail
#61,Jungle,Moxir,Grandmaster - 383 LP,53.2,1999 / 1761,moxir
#62,Mid,sandbox10,Grandmaster - 380 LP,53.3,1279 / 1121,
#63,Top,Kingen,Grandmaster - 378 LP,53.9,1097 / 940,Maffayoo
#64,Jungle,PiolsJg,Grandmaster - 375 LP,56.0,986 / 774,Piols2
#65,Top,DoinB,Grandmaster - 375 LP,53.6,1234 / 1070,LordArtos
#66,Jungle,Freja,Grandmaster - 374 LP,54.4,1138 / 954,ornstein123
#67,Jungle,SmelliElli,Grandmaster - 372 LP,56.5,1067 / 823,bigjon
#68,Support,Rookie,Grandmaster - 371 LP,53.3,1422 / 1248,LordArtos
