Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,T1 T1,Challenger - 664 LP,75.8,172 / 55,Soraka
#2,Top,Salsa,Challenger - 258 LP,65.0,367 / 198,YungYiga
#3,Jungle,Jinxnator,Challenger - 149 LP,60.9,354 / 227,Jinxnator
#4,ADC,Kadlin,Challenger - 147 LP,64.7,381 / 208,Jinxnator
#5,Support,Test5,Challenger - 132 LP,58.0,342 / 248,test
#6,ADC,BöllerBusch,Challenger - 130 LP,63.5,249 / 143,Jungler1337
#7,Mid,Arteros,Challenger - 130 LP,63.6,293 / 168,Anbeeld
#8,Mid,Frimmy23,Challenger - 108 LP,61.3,366 / 231,YoloMedic
#9,Support,FPX Crisp,Challenger - 81 LP,55.1,409 / 333,LPLAhri
#10,Mid,kittyperry,Challenger - 66 LP,54.4,320 / 268,GamerGirls
#11,Jungle,Ceasarna,Challenger - 57 LP,58.6,289 / 204,iampvm
#12,Jungle,Poppey,Challenger - 42 LP,61.0,327 / 209,NAVI
#13,ADC,TES Jackeylove,Challenger - 36 LP,54.6,330 / 274,LPLAhri
#14,Jungle,MexicanPidgeon,Challenger - 29 LP,56.2,293 / 228,LumiFumi
#15,Mid,Frethborn,Challenger - 18 LP,54.3,309 / 260,Jinxnator
#16,ADC,cryhard,Challenger - 8 LP,56.4,254 / 196,roysiggi
#17,Top,Aryze,Challenger - 7 LP,54.4,248 / 208,sanchesmemo
#18,Jungle,Blaze,Challenger - 3 LP,59.2,239 / 165,Hit_Critical
#19,Top,Amouranth,Diamond I - 96 LP,54.1,347 / 294,Simp
#20,ADC,TPOPIS,Diamond I - 95 LP,57.0,269 / 203,Byumbi
#21,Top,RNG Letme,Diamond I - 88 LP,55.7,347 / 276,LPLAhri
#22,Top,TopBot,Diamond I - 81 LP,54.1,248 / 210,TangilBOT
#23,Jungle,Gnima,Diamond I - 80 LP,53.6,355 / 307,YoloMedic
#24,Support,iEnygma,Diamond I - 62 LP,54.9,179 / 147,EG Voutocu
#25,Jungle,Sparrow,Diamond I - 60 LP,55.2,275 / 223,Anbeeld
#26,Top,Raleigh Obelisk,Diamond I - 57 LP,58.7,232 / 163,Sinker
#27,ADC,Uma Jan monkaS,Diamond I - 56 LP,57.9,253 / 184,Phost
#28,Top,DoinB,Diamond I - 54 LP,57.4,381 / 283,LordArtos
